項次,西元年,民國年,性別,年齡,死亡機率
201,2024,113,女性,66歲,0.00725
202,2024,113,總計,67歲,0.01235
203,2024,113,男性,67歲,0.01722
204,2024,113,女性,67歲,0.00806
205,2024,113,總計,68歲,0.01355
206,2024,113,男性,68歲,0.01877
207,2024,113,女性,68歲,0.00901
208,2024,113,總計,69歲,0.01493
209,2024,113,男性,69歲,0.02052
210,2024,113,女性,69歲,0.0101
211,2024,113,總計,70歲,0.01647
212,2024,113,男性,70歲,0.02247
213,2024,113,女性,70歲,0.01135
214,2024,113,總計,71歲,0.01817
215,2024,113,男性,71歲,0.02461
216,2024,113,女性,71歲,0.01274
217,2024,113,總計,72歲,0.02006
218,2024,113,男性,72歲,0.02699
219,2024,113,女性,72歲,0.01429
220,2024,113,總計,73歲,0.02216
221,2024,113,男性,73歲,0.02963
222,2024,113,女性,73歲,0.01601
223,2024,113,總計,74歲,0.02449
224,2024,113,男性,74歲,0.03257
225,2024,113,女性,74歲,0.01794
226,2024,113,總計,75歲,0.02702
227,2024,113,男性,75歲,0.03574
228,2024,113,女性,75歲,0.02005
229,2024,113,總計,76歲,0.02977
230,2024,113,男性,76歲,0.03917
231,2024,113,女性,76歲,0.02238
232,2024,113,總計,77歲,0.03281
233,2024,113,男性,77歲,0.04292
234,2024,113,女性,77歲,0.025
235,2024,113,總計,78歲,0.03617
236,2024,113,男性,78歲,0.04704
237,2024,113,女性,78歲,0.02792
238,2024,113,總計,79歲,0.03993
239,2024,113,男性,79歲,0.0515
240,2024,113,女性,79歲,0.03133
241,2024,113,總計,80歲,0.04406
242,2024,113,男性,80歲,0.05626
243,2024,113,女性,80歲,0.03517
244,2024,113,總計,81歲,0.04862
245,2024,113,男性,81歲,0.06148
246,2024,113,女性,81歲,0.03946
247,2024,113,總計,82歲,0.05362
248,2024,113,男性,82歲,0.06714
249,2024,113,女性,82歲,0.04421
250,2024,113,總計,83歲,0.05906
251,2024,113,男性,83歲,0.07322
252,2024,113,女性,83歲,0.04943
253,2024,113,總計,84歲,0.06434
254,2024,113,男性,84歲,0.07979
255,2024,113,女性,84歲,0.05411
256,2024,113,總計,85歲,0.07068
257,2024,113,男性,85歲,0.08682
258,2024,113,女性,85歲,0.06029
259,2024,113,總計,86歲,0.07763
260,2024,113,男性,86歲,0.0944
261,2024,113,女性,86歲,0.06712
262,2024,113,總計,87歲,0.08512
263,2024,113,男性,87歲,0.10257
264,2024,113,女性,87歲,0.07451
265,2024,113,總計,88歲,0.09319
266,2024,113,男性,88歲,0.11127
267,2024,113,女性,88歲,0.08253
268,2024,113,總計,89歲,0.10188
269,2024,113,男性,89歲,0.12055
270,2024,113,女性,89歲,0.09122
271,2024,113,總計,90歲,0.11132
272,2024,113,男性,90歲,0.13052
273,2024,113,女性,90歲,0.10071
274,2024,113,總計,91歲,0.12153
275,2024,113,男性,91歲,0.14111
276,2024,113,女性,91歲,0.11107
277,2024,113,總計,92歲,0.13246
278,2024,113,男性,92歲,0.15222
279,2024,113,女性,92歲,0.12226
280,2024,113,總計,93歲,0.1442
281,2024,113,男性,93歲,0.16394
282,2024,113,女性,93歲,0.13436
283,2024,113,總計,94歲,0.15667
284,2024,113,男性,94歲,0.1763
285,2024,113,女性,94歲,0.14722
286,2024,113,總計,95歲,0.17032
287,2024,113,男性,95歲,0.18975
288,2024,113,女性,95歲,0.16129
289,2024,113,總計,96歲,0.1844
290,2024,113,男性,96歲,0.20317
291,2024,113,女性,96歲,0.17597
292,2024,113,總計,97歲,0.19906
293,2024,113,男性,97歲,0.21691
294,2024,113,女性,97歲,0.1913
295,2024,113,總計,98歲,0.21453
296,2024,113,男性,98歲,0.23161
297,2024,113,女性,98歲,0.20734
298,2024,113,總計,99歲,0.23119
299,2024,113,男性,99歲,0.24635
300,2024,113,女性,99歲,0.22501
301,2024,113,總計,100歲及以上,1
302,2024,113,男性,100歲及以上,1
303,2024,113,女性,100歲及以上,1
304,2025,114,總計,0歲,0.00384
305,2025,114,男性,0歲,0.00412
306,2025,114,女性,0歲,0.00356
307,2025,114,總計,1歲,0.00026
308,2025,114,男性,1歲,0.0003
309,2025,114,女性,1歲,0.00021
310,2025,114,總計,2歲,0.00017
311,2025,114,男性,2歲,0.00019
312,2025,114,女性,2歲,0.00015
313,2025,114,總計,3歲,0.00013
314,2025,114,男性,3歲,0.00014
315,2025,114,女性,3歲,0.00012
316,2025,114,總計,4歲,0.00011
317,2025,114,男性,4歲,0.00011
318,2025,114,女性,4歲,0.0001
319,2025,114,總計,5歲,0.0001
320,2025,114,男性,5歲,0.00011
321,2025,114,女性,5歲,0.0001
322,2025,114,總計,6歲,0.0001
323,2025,114,男性,6歲,0.0001
324,2025,114,女性,6歲,9E-05
325,2025,114,總計,7歲,9E-05
326,2025,114,男性,7歲,0.0001
327,2025,114,女性,7歲,8E-05
328,2025,114,總計,8歲,8E-05
329,2025,114,男性,8歲,9E-05
330,2025,114,女性,8歲,7E-05
331,2025,114,總計,9歲,8E-05
332,2025,114,男性,9歲,8E-05
333,2025,114,女性,9歲,7E-05
334,2025,114,總計,10歲,8E-05
335,2025,114,男性,10歲,8E-05
336,2025,114,女性,10歲,8E-05
337,2025,114,總計,11歲,9E-05
338,2025,114,男性,11歲,9E-05
339,2025,114,女性,11歲,9E-05
340,2025,114,總計,12歲,0.00011
341,2025,114,男性,12歲,0.00011
342,2025,114,女性,12歲,0.0001
343,2025,114,總計,13歲,0.00014
344,2025,114,男性,13歲,0.00015
345,2025,114,女性,13歲,0.00012
346,2025,114,總計,14歲,0.00018
