年份,鄉鎮市區碼,區域名稱,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,手術恢復床,嬰兒床,血液透析床,燒傷加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,腹膜透析床,急性後期照護病床,整合醫學急診後送病床,戒護病床,司法精神病床
103年,3111,汐止區,1,626,465,161,25,465,0,440,25,0,0,0,0,0,37,0,12,31,6,13,0,0,0.0,0,10,16,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3112,瑞芳區,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3113,土城區,4,348,148,200,0,148,0,148,0,0,0,0,0,0,10,0,0,5,0,0,168,0,0.0,0,2,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3114,蘆洲區,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,3,1,0,17,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3121,三芝區,1,85,85,0,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3123,八里區,1,503,500,3,500,100,400,0,100,0,400,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3127,金山區,1,74,54,20,0,54,0,54,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0.0,0,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,101,松山區,5,1300,848,452,153,745,103,695,50,0,103,0,0,0,54,0,33,51,0,0,84,0,,0,15,67,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,,,
104年,102,大安區,5,1402,1017,385,0,1017,0,1017,0,0,0,0,0,0,62,0,23,63,0,0,37,8,,0,19,52,115,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,
104年,109,大同區,1,3187,2376,811,540,2243,133,1836,407,0,133,0,0,0,157,0,35,111,11,16,178,10,,12,26,50,156,0.0,15.0,0.0,34.0,0.0,0.0,0.0,,,,
104年,110,中山區,4,1268,814,454,0,794,20,794,0,20,0,0,0,0,100,0,55,39,0,0,90,0,,0,12,71,48,8.0,20.0,9.0,2.0,0.0,0.0,0.0,,,,
104年,111,內湖區,3,2164,1575,589,118,1575,0,1457,118,0,0,0,0,0,118,8,46,48,2,15,112,24,,0,40,46,106,3.0,0.0,1.0,18.0,2.0,0.0,0.0,,,,
104年,115,士林區,1,872,551,321,25,551,0,526,25,0,0,0,0,0,66,0,25,40,0,8,0,8,,0,15,49,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,
104年,116,北投區,6,5116,4134,982,680,3850,284,3387,463,67,217,0,0,0,317,14,41,97,6,36,32,28,,0,54,39,148,12.0,90.0,33.0,24.0,11.0,0.0,0.0,,,,
104年,117,信義區,2,836,545,291,25,545,0,520,25,0,0,0,0,0,59,0,17,32,0,20,72,0,,0,12,15,60,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,
104年,118,中正區,4,2681,1916,765,68,1916,0,1848,68,0,0,0,0,0,242,10,48,122,0,17,0,15,,0,56,20,70,4.0,96.0,0.0,51.0,14.0,0.0,0.0,,,,
104年,119,萬華區,4,422,244,178,0,165,79,165,0,79,0,0,0,0,8,0,0,10,8,0,30,0,,0,4,3,114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
104年,120,文山區,2,856,592,264,38,592,0,554,38,0,0,0,0,0,46,4,10,29,6,10,60,10,,0,8,15,54,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,
104年,3101,板橋區,7,1671,935,736,28,935,0,907,28,0,0,0,0,0,117,12,20,52,15,0,200,46,,0,17,40,216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
104年,3102,三重區,4,714,342,372,0,342,0,342,0,0,0,0,0,0,48,10,0,21,3,0,154,0,,0,10,6,101,0.0,1.0,0.0,16.0,0.0,0.0,2.0,,,,
104年,3103,永和區,4,497,290,207,0,290,0,290,0,0,0,0,0,0,17,0,8,10,5,0,81,0,,0,7,26,51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,
104年,3104,中和區,5,1386,984,402,100,984,0,884,100,0,0,0,0,0,62,0,12,39,7,10,100,10,,0,18,28,111,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,
104年,3105,新店區,6,2362,1687,675,240,1346,341,1247,99,200,141,0,0,0,158,0,28,71,11,29,103,32,,0,21,50,150,0.0,4.0,0.0,16.0,2.0,0.0,0.0,,,,
104年,3106,新莊區,8,1532,1144,388,252,721,423,651,70,40,182,0,201,0,47,0,5,35,12,0,182,0,,0,3,5,89,0.0,0.0,0.0,9.0,0.0,0.0,1.0,,,,
104年,3107,樹林區,1,212,148,64,0,148,0,148,0,0,0,0,0,0,12,0,0,8,1,0,20,0,,0,1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3109,三峽區,2,542,379,163,0,342,37,342,0,37,0,0,0,0,36,0,15,33,7,0,0,0,,0,11,25,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3110,淡水區,5,2026,1779,247,947,946,833,832,114,0,833,0,0,0,59,0,18,22,7,28,0,13,,0,12,10,53,0.0,5.0,0.0,12.0,8.0,0.0,0.0,,,,
