年份,鄉鎮市區碼,區域名稱,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,手術恢復床,嬰兒床,血液透析床,燒傷加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,腹膜透析床,急性後期照護病床,整合醫學急診後送病床,戒護病床,司法精神病床
110年,109,大同區,1,2976,2213,763,498,2080,133,1715,365,0,133,0,0,0,128,0,30,80,11,27,185,0,,12,26,50,167,0.0,14.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,110,中山區,4,1132,804,328,0,784,20,784,0,20,0,0,0,0,92,0,55,39,0,0,0,0,,0,16,62,38,8.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
110年,111,內湖區,4,2344,1670,674,118,1670,0,1552,118,0,0,0,0,0,147,8,46,47,2,15,152,24,,0,41,46,123,3.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,
110年,115,士林區,1,829,543,286,25,543,0,518,25,0,0,0,0,0,62,0,21,36,0,8,0,8,,0,16,25,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,116,北投區,6,4844,3907,937,664,3623,284,3176,447,67,217,0,0,0,282,14,42,89,0,44,32,28,,0,58,37,156,12.0,82.0,33.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,
110年,117,信義區,1,727,525,202,25,525,0,500,25,0,0,0,0,0,59,0,12,25,0,10,0,0,,0,18,10,60,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,118,中正區,3,2623,1898,725,68,1898,0,1830,68,0,0,0,0,0,229,10,46,120,0,17,0,14,,0,59,20,52,4.0,94.0,1.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0,
110年,119,萬華區,4,409,245,164,0,166,79,166,0,79,0,0,0,0,8,0,0,9,0,0,30,0,,0,7,3,106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
110年,120,文山區,2,841,592,249,38,592,0,554,38,0,0,0,0,0,49,4,10,29,6,10,30,10,,0,13,15,61,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3101,板橋區,7,1983,1072,911,50,1072,0,1022,50,0,0,0,0,0,119,12,24,67,85,16,189,52,,0,24,25,205,0.0,38.0,0.0,11.0,4.0,0.0,0.0,0.0,40.0,0.0,
110年,3102,三重區,4,763,394,369,0,394,0,394,0,0,0,0,0,0,47,2,0,20,4,0,125,0,,0,10,3,138,0.0,1.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,
110年,3103,永和區,2,359,250,109,0,250,0,250,0,0,0,0,0,0,21,0,8,10,3,0,20,0,,0,5,10,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3104,中和區,5,1393,983,410,85,983,0,898,85,0,0,0,0,0,86,0,12,35,10,10,84,8,,0,27,28,104,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
110年,3105,新店區,7,2689,1954,735,284,1649,305,1470,179,200,105,0,0,0,149,0,22,70,14,20,182,24,,0,25,38,177,0.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,
110年,3106,新莊區,8,1554,1113,441,252,723,390,653,70,40,182,0,168,0,62,0,5,31,6,9,160,6,,0,10,5,126,0.0,0.0,0.0,9.0,0.0,0.0,1.0,11.0,0.0,0.0,
110年,3107,樹林區,1,189,132,57,0,132,0,132,0,0,0,0,0,0,6,0,0,8,2,0,20,0,,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3109,三峽區,3,603,399,204,0,362,37,362,0,37,0,0,0,0,36,0,11,33,14,4,0,0,,0,12,25,67,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3110,淡水區,4,1684,1428,256,719,805,623,709,96,0,623,0,0,0,62,0,18,22,13,29,0,13,,0,11,10,53,0.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,
110年,3111,汐止區,1,642,459,183,25,459,0,434,25,0,0,0,0,0,46,0,12,31,6,13,0,0,,0,10,16,45,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3112,瑞芳區,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3113,土城區,5,1149,734,415,80,684,50,654,30,0,50,0,0,0,58,4,10,43,3,12,168,0,,0,8,25,65,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3114,蘆洲區,1,36,19,17,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,17,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3116,泰山區,1,677,499,178,0,499,0,499,0,0,0,0,0,0,57,0,12,23,0,0,0,0,,0,21,10,43,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3121,三芝區,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3123,八里區,1,503,500,3,500,150,350,0,150,0,350,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,3127,金山區,1,82,48,34,0,48,0,48,0,0,0,0,0,0,0,0,0,5,2,2,0,0,,0,1,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,101,松山區,5,1283,830,453,153,727,103,677,50,0,103,0,0,0,59,0,35,51,0,0,84,0,,0,19,57,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,102,大安區,6,1797,1292,505,0,1292,0,1292,0,0,0,0,0,0,109,0,23,61,0,0,37,0,,0,41,50,132,4.0,0.0,0.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,
111年,109,大同區,1,3012,2249,763,498,2116,133,1751,365,0,133,0,0,0,128,0,30,80,11,27,185,0,,12,26,50,167,0.0,14.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,110,中山區,4,1161,804,357,0,784,20,784,0,20,0,0,0,0,100,0,55,39,0,0,0,0,,0,16,58,63,8.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
111年,111,內湖區,4,2324,1672,652,118,1672,0,1554,118,0,0,0,0,0,147,8,26,57,2,15,112,24,,0,41,34,123,3.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,40.0,0.0,
111年,115,士林區,1,829,543,286,25,543,0,518,25,0,0,0,0,0,62,0,21,36,0,8,0,8,,0,16,25,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,116,北投區,6,5168,4216,952,664,3932,284,3485,447,67,217,0,0,0,286,14,37,89,0,44,32,28,,0,58,37,156,12.0,78.0,43.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,
111年,117,信義區,1,727,525,202,25,525,0,500,25,0,0,0,0,0,59,0,12,25,0,10,0,0,,0,18,10,60,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,118,中正區,3,2611,1896,715,68,1896,0,1828,68,0,0,0,0,0,223,10,46,120,0,17,0,10,,0,59,20,52,4.0,94.0,1.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0,
111年,119,萬華區,4,409,245,164,0,166,79,166,0,79,0,0,0,0,8,0,0,9,0,0,30,0,,0,7,3,106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
111年,120,文山區,2,841,592,249,38,592,0,554,38,0,0,0,0,0,52,4,10,36,6,10,30,0,,0,13,15,61,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3101,板橋區,7,1984,1069,915,50,1069,0,1019,50,0,0,0,0,0,119,12,24,67,85,16,189,52,,0,24,25,209,0.0,38.0,0.0,11.0,4.0,0.0,0.0,0.0,40.0,0.0,
111年,3102,三重區,4,743,394,349,0,394,0,394,0,0,0,0,0,0,47,2,0,20,4,0,125,0,,0,10,3,118,0.0,1.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,
111年,3103,永和區,2,359,250,109,0,250,0,250,0,0,0,0,0,0,21,0,8,10,3,0,20,0,,0,5,10,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3104,中和區,4,1368,959,409,85,959,0,874,85,0,0,0,0,0,86,0,12,46,9,10,56,8,,0,27,28,121,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
111年,3105,新店區,7,2695,1954,741,284,1649,305,1470,179,200,105,0,0,0,151,0,22,70,14,20,182,24,,0,25,38,177,0.0,4.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,
111年,3106,新莊區,9,1636,1158,478,252,768,390,698,70,40,182,0,168,0,71,0,5,31,6,9,194,0,,0,10,5,126,0.0,0.0,0.0,9.0,0.0,0.0,1.0,11.0,0.0,0.0,
111年,3107,樹林區,1,189,132,57,0,132,0,132,0,0,0,0,0,0,6,0,0,8,2,0,20,0,,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3109,三峽區,3,606,399,207,0,362,37,362,0,37,0,0,0,0,33,0,11,33,14,4,0,0,,0,12,25,73,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3110,淡水區,3,1660,1426,234,719,803,623,707,96,0,623,0,0,0,61,0,18,22,13,29,0,13,,0,11,10,32,0.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,
111年,3111,汐止區,1,642,459,183,25,459,0,434,25,0,0,0,0,0,46,0,12,31,6,13,0,0,,0,10,16,45,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3112,瑞芳區,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3113,土城區,5,1136,734,402,80,684,50,654,30,0,50,0,0,0,58,4,10,43,3,12,141,0,,0,7,25,80,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3114,蘆洲區,1,36,19,17,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,17,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3116,泰山區,1,677,499,178,0,499,0,499,0,0,0,0,0,0,57,0,12,23,0,0,0,0,,0,21,10,43,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3121,三芝區,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3123,八里區,1,503,500,3,500,150,350,0,150,0,350,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111年,3127,金山區,1,84,48,36,0,48,0,48,0,0,0,0,0,0,0,0,0,5,2,2,0,0,,0,1,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
112年,101,松山區,5,1298,849,449,153,746,103,696,50,0,103,0,0,0,59,0,31,51,0,0,84,0,,0,19,57,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,102,大安區,6,1798,1300,498,0,1300,0,1300,0,0,0,0,0,0,96,0,23,59,0,0,37,8,,0,41,50,132,4.0,0.0,0.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,109,大同區,1,3058,2301,757,498,2168,133,1803,365,0,133,0,0,0,128,0,30,80,11,27,179,0,,12,26,50,167,0.0,14.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,110,中山區,4,1118,790,328,0,790,0,790,0,0,0,0,0,0,100,0,55,39,0,0,0,0,,0,16,48,48,8.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,111,內湖區,4,2247,1622,625,118,1622,0,1504,118,0,0,0,0,0,142,8,26,57,2,15,112,24,,0,20,30,123,6.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0
112年,115,士林區,1,829,543,286,25,543,0,518,25,0,0,0,0,0,62,0,21,36,0,8,0,8,,0,16,25,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,116,北投區,6,5264,4269,995,704,3985,284,3498,487,67,217,0,0,0,322,14,37,89,0,44,32,28,,0,71,37,156,6.0,78.0,43.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,117,信義區,1,738,525,213,25,525,0,500,25,0,0,0,0,0,59,0,12,27,0,10,0,6,,0,18,10,63,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,118,中正區,3,2646,1921,725,68,1921,0,1853,68,0,0,0,0,0,232,10,42,120,0,17,0,15,,0,59,20,52,4.0,94.0,1.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,119,萬華區,4,409,245,164,0,166,79,166,0,79,0,0,0,0,8,0,0,9,0,0,30,0,,0,7,3,106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112年,120,文山區,2,833,577,256,38,577,0,539,38,0,0,0,0,0,50,4,10,34,6,10,30,0,,0,13,15,73,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3101,板橋區,7,1967,1077,890,50,1077,0,1027,50,0,0,0,0,0,119,12,24,67,85,16,189,52,,0,24,25,197,0.0,25.0,0.0,11.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0
112年,3102,三重區,4,770,475,295,0,475,0,475,0,0,0,0,0,0,43,0,0,25,8,0,80,0,,0,10,2,110,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
112年,3103,永和區,2,359,250,109,0,250,0,250,0,0,0,0,0,0,21,0,8,10,3,0,20,0,,0,5,10,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3104,中和區,4,1353,931,422,57,931,0,874,57,0,0,0,0,0,85,0,12,46,9,10,56,7,,0,27,28,136,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3105,新店區,7,2670,1954,716,284,1649,305,1470,179,200,105,0,0,0,149,0,22,70,14,20,154,24,,0,25,38,183,0.0,4.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3106,新莊區,9,1638,1188,450,252,798,390,728,70,40,182,0,168,0,73,0,5,31,2,9,168,0,,0,10,5,126,0.0,0.0,0.0,9.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0
112年,3107,樹林區,1,189,132,57,0,132,0,132,0,0,0,0,0,0,6,0,0,8,2,0,20,0,,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3109,三峽區,3,603,399,204,0,362,37,362,0,37,0,0,0,0,30,0,11,33,14,4,0,0,,0,12,25,73,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3110,淡水區,3,1640,1415,225,719,792,623,696,96,0,623,0,0,0,61,0,18,22,13,25,0,8,,0,11,10,32,0.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3111,汐止區,1,642,458,184,25,458,0,433,25,0,0,0,0,0,46,0,12,31,6,13,0,0,,0,10,16,45,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3112,瑞芳區,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3113,土城區,5,1137,734,403,80,684,50,654,30,0,50,0,0,0,58,4,10,43,3,12,141,0,,0,7,25,80,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3116,泰山區,1,682,499,183,0,499,0,499,0,0,0,0,0,0,57,0,12,23,0,5,0,0,,0,21,10,43,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3121,三芝區,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3123,八里區,1,503,500,3,500,150,350,0,150,0,350,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112年,3127,金山區,1,86,48,38,0,48,0,48,0,0,0,0,0,0,0,0,0,5,2,2,0,0,,0,1,0,26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
