git年份,性別,縣市,癌症類別,發生率,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2018,男,台北市,眼及淚腺,0.05,1 ,74.0,74.0,0.08
2018,男,台北市,腦,3.28,51 ,54.1,61.0,4.01
2018,男,台北市,其他神經系統,0.37,6 ,55.83,58.5,0.47
2018,男,台北市,甲狀腺,9.41,155 ,50.92,49.0,12.17
2018,男,台北市,其他內分泌腺,1.0,13 ,41.0,50.0,1.02
2018,男,台北市,其他分界不明的部位,0.15,3 ,68.33,79.0,0.24
2018,男,台北市,不明原發部位,1.73,41 ,69.49,67.0,3.22
2018,男,台北市,何杰金氏淋巴瘤,1.95,22 ,35.18,31.0,1.73
2018,男,台北市,白血病,8.95,167 ,62.23,67.0,13.11
2018,男,台北市,非何杰金氏淋巴瘤,9.68,204 ,64.8,65.5,16.02
2018,男,台北市,漿細胞瘤,2.45,56 ,68.96,68.0,4.4
2018,男,台北市,全癌症,297.32,"6,473 ",66.7,67.0,508.33
2018,男,新北市,口腔、口咽及下咽,38.13,"1,124 ",57.36,57.0,57.49
2018,男,新北市,主唾液腺,1.37,37 ,54.38,55.0,1.89
2018,男,新北市,鼻咽,7.62,209 ,53.22,54.0,10.69
2018,男,新北市,食道,13.19,397 ,59.79,59.0,20.31
2018,男,新北市,胃,14.57,440 ,67.88,67.5,22.51
2018,男,新北市,小腸,1.59,46 ,60.96,62.0,2.35
2018,男,新北市,結直腸,51.82,"1,553 ",64.76,65.0,79.44
2018,男,新北市,肝及肝內膽管,39.48,"1,177 ",63.17,63.0,60.21
2018,男,新北市,膽囊及肝外膽管,3.33,98 ,69.69,70.0,5.01
2018,男,新北市,胰,8.55,258 ,66.33,66.0,13.2
2018,男,新北市,後腹膜腔及腹膜,0.89,22 ,57.36,62.5,1.13
2018,男,新北市,消化器官其他分界不明部位,0.08,2 ,62.0,62.0,0.1
2018,男,新北市,鼻腔、中耳及副鼻竇,0.74,22 ,58.55,57.0,1.13
2018,男,新北市,喉,4.64,141 ,63.77,63.0,7.21
2018,男,新北市,肺、支氣管及氣管,48.43,"1,448 ",66.54,66.0,74.07
2018,男,新北市,胸膜,0.35,11 ,69.18,67.0,0.56
2018,男,新北市,胸腺、心臟與中隔,2.62,71 ,54.21,55.0,3.63
2018,男,新北市,骨、關節及關節軟骨,0.79,17 ,45.82,51.0,0.87
2018,男,新北市,結締組織、皮下組織及其他軟組織,2.84,73 ,55.55,56.0,3.73
2018,男,新北市,皮膚,9.67,288 ,70.65,71.0,14.73
2018,男,新北市,男性乳房,0.32,9 ,66.22,67.0,0.46
2018,男,新北市,攝護腺,39.47,"1,173 ",71.76,71.0,60.0
2018,男,新北市,睪丸,2.48,47 ,31.53,32.0,2.4
