統計期,性別,總計,未滿1~4歲,未滿1歲,1歲,2歲,3歲,4歲,5~9歲,5歲,6歲,7歲,8歲,9歲,10~14歲,10歲,11歲,12歲,13歲,14歲,15~19歲,15歲,16歲,17歲,18歲,19歲,20~24歲,20歲,21歲,22歲,23歲,24歲,25~29歲,25歲,26歲,27歲,28歲,29歲,30~34歲,30歲,31歲,32歲,33歲,34歲,35~39歲,35歲,36歲,37歲,38歲,39歲,40~44歲,40歲,41歲,42歲,43歲,44歲,45~49歲,45歲,46歲,47歲,48歲,49歲,50~54歲,50歲,51歲,52歲,53歲,54歲,55~59歲,55歲,56歲,57歲,58歲,59歲,60~64歲,60歲,61歲,62歲,63歲,64歲,65~69歲,65歲,66歲,67歲,68歲,69歲,70~74歲,70歲,71歲,72歲,73歲,74歲,75~79歲,75歲,76歲,77歲,78歲,79歲,80~84歲,80歲,81歲,82歲,83歲,84歲,85~89歲,85歲,86歲,87歲,88歲,89歲,90~94歲,90歲,91歲,92歲,93歲,94歲,95~99歲,95歲,96歲,97歲,98歲,99歲,100歲以上
109年 7月底,總計,2620037,118031,18657,21741,23617,26121,27895,121261,27436,22976,25169,24427,21253,109216,20929,21979,23635,21688,20985,113036,21305,20882,22381,22557,25911,137453,26411,25120,27236,29001,29685,149211,29587,29509,29771,29556,30788,165962,32426,32959,32742,32782,35053,217644,39762,41052,44204,46275,46351,221403,46024,45785,42282,45598,41714,193417,39300,38044,37946,38653,39474,194883,39952,39665,38447,37947,38872,197233,39833,39614,39875,39198,38713,193563,38954,39485,38572,37821,38731,179683,38214,36122,35943,35217,34187,117228,29823,27862,23736,21040,14767,77863,15931,16774,15643,15099,14416,55120,13462,12208,10870,9664,8916,33939,8062,7273,6729,6362,5513,17796,4832,4318,3500,2886,2260,5158,1684,1266,950,753,505,937
109年 7月底,男,1247311,60984,9726,11167,12197,13415,14479,62678,14118,11875,12912,12699,11074,56730,10805,11529,12208,11162,11026,58921,11310,10872,11670,11739,13330,71001,13792,13048,14125,14823,15213,75636,15186,15110,14979,14871,15490,79494,16129,15925,15671,15453,16316,102269,18651,19304,20930,21684,21700,103167,21480,21447,19770,21251,19219,89517,18016,17810,17622,17870,18199,89861,18445,18263,17625,17629,17899,91257,18559,18326,18425,17954,17993,88879,17920,18065,17781,17205,17908,82729,17805,16700,16579,16117,15528,53006,13253,12694,10798,9565,6696,33718,6965,7410,6790,6457,6096,22025,5459,5039,4264,3795,3468,14289,3133,2979,2819,2809,2549,8284,2251,2013,1602,1350,1068,2407,795,557,455,369,231,459
109年 7月底,女,1372726,57047,8931,10574,11420,12706,13416,58583,13318,11101,12257,11728,10179,52486,10124,10450,11427,10526,9959,54115,9995,10010,10711,10818,12581,66452,12619,12072,13111,14178,14472,73575,14401,14399,14792,14685,15298,86468,16297,17034,17071,17329,18737,115375,21111,21748,23274,24591,24651,118236,24544,24338,22512,24347,22495,103900,21284,20234,20324,20783,21275,105022,21507,21402,20822,20318,20973,105976,21274,21288,21450,21244,20720,104684,21034,21420,20791,20616,20823,96954,20409,19422,19364,19100,18659,64222,16570,15168,12938,11475,8071,44145,8966,9364,8853,8642,8320,33095,8003,7169,6606,5869,5448,19650,4929,4294,3910,3553,2964,9512,2581,2305,1898,1536,1192,2751,889,709,495,384,274,478
109年 8月底,總計,2615642,116700,18315,21434,23340,25920,27691,121749,27455,23203,24731,24766,21594,108803,20730,22056,23338,21720,20959,112007,21121,20875,22182,22339,25490,137039,26483,25221,26891,28928,29516,148825,29587,29439,29764,29498,30537,165420,32514,32625,32866,32815,34600,216401,39385,40796,43736,46010,46474,221465,45717,45844,42629,44694,42581,192834,38811,38530,37731,38343,39419,194713,39795,39642,38531,37905,38840,196749,39598,39576,39852,39077,38646,193567,39085,39354,38638,37100,39390,179992,38437,35942,35988,35231,34394,118331,29892,28236,23769,21386,15048,77773,15739,16723,15702,15195,14414,55246,13462,12253,10859,9804,8868,34024,8164,7259,6716,6355,5530,17827,4854,4280,3567,2867,2259,5228,1721,1291,934,763,519,949
109年 8月底,男,1245157,60292,9573,10977,12082,13271,14389,62917,14131,11997,12751,12791,11247,56563,10690,11598,12052,11234,10989,58388,11135,10926,11548,11640,13139,70787,13813,13100,13971,14794,15109,75466,15145,15135,14989,14809,15388,79288,16161,15865,15617,15550,16095,101675,18444,19190,20725,21599,21717,103234,21344,21443,19996,20830,19621,89210,17730,18052,17560,17693,18175,89758,18357,18268,17680,17581,17872,91101,18456,18366,18386,17940,17953,88882,17983,18035,17793,16865,18206,82821,17848,16689,16561,16107,15616,53557,13318,12867,10794,9691,6887,33681,6889,7347,6798,6531,6116,22084,5439,5069,4265,3884,3427,14237,3150,2966,2827,2754,2540,8300,2290,1973,1624,1351,1062,2446,819,566,438,383,240,470
109年 8月底,女,1370485,56408,8742,10457,11258,12649,13302,58832,13324,11206,11980,11975,10347,52240,10040,10458,11286,10486,9970,53619,9986,9949,10634,10699,12351,66252,12670,12121,12920,14134,14407,73359,14442,14304,14775,14689,15149,86132,16353,16760,17249,17265,18505,114726,20941,21606,23011,24411,24757,118231,24373,24401,22633,23864,22960,103624,21081,20478,20171,20650,21244,104955,21438,21374,20851,20324,20968,105648,21142,21210,21466,21137,20693,104685,21102,21319,20845,20235,21184,97171,20589,19253,19427,19124,18778,64774,16574,15369,12975,11695,8161,44092,8850,9376,8904,8664,8298,33162,8023,7184,6594,5920,5441,19787,5014,4293,3889,3601,2990,9527,2564,2307,1943,1516,1197,2782,902,725,496,380,279,479
109年 9月底,總計,2610762,115648,18058,21305,23086,25512,27687,122220,27193,23675,24260,25148,21944,108288,20535,22124,22817,21798,21014,110790,20934,20911,21850,22298,24797,136775,26655,25337,26100,29124,29559,148288,29423,29516,29697,29433,30219,164765,32491,32246,33133,32705,34190,215109,38768,40502,43429,45799,46611,221506,45412,45734,43113,43711,43536,192076,38540,38593,37717,38037,39189,194512,39747,39721,38720,37638,38686,196404,39416,39633,39787,39020,38548,193442,39109,39144,38750,36659,39780,180072,38485,35869,35922,35413,34383,119856,29989,28720,23868,21593,15686,77323,15268,16692,15755,15213,14395,55409,13542,12343,10885,9920,8719,34090,8271,7257,6692,6381,5489,17925,4899,4285,3596,2885,2260,5305,1777,1312,920,780,516,959
109年 9月底,男,1242747,59771,9473,10918,11934,13070,14376,63146,14013,12220,12528,12965,11420,56299,10649,11564,11840,11240,11006,57798,11012,11004,11361,11604,12817,70630,13869,13171,13578,14896,15116,75203,15038,15174,14981,14730,15280,79072,16193,15660,15769,15534,15916,101039,18137,19041,20570,21527,21764,103282,21264,21336,20254,20373,20055,88935,17645,18022,17690,17518,18060,89691,18374,18272,17800,17421,17824,90913,18300,18431,18304,17933,17945,88743,17950,17919,17832,16650,18392,82848,17827,16688,16541,16135,15657,54204,13388,13068,10869,9748,7131,33494,6735,7302,6841,6522,6094,22173,5505,5123,4246,3959,3340,14222,3207,2970,2783,2733,2529,8328,2300,1970,1647,1348,1063,2482,838,575,437,386,246,474
109年 9月底,女,1368015,55877,8585,10387,11152,12442,13311,59074,13180,11455,11732,12183,10524,51989,9886,10560,10977,10558,10008,52992,9922,9907,10489,10694,11980,66145,12786,12166,12522,14228,14443,73085,14385,14342,14716,14703,14939,85693,16298,16586,17364,17171,18274,114070,20631,21461,22859,24272,24847,118224,24148,24398,22859,23338,23481,103141,20895,20571,20027,20519,21129,104821,21373,21449,20920,20217,20862,105491,21116,21202,21483,21087,20603,104699,21159,21225,20918,20009,21388,97224,20658,19181,19381,19278,18726,65652,16601,15652,12999,11845,8555,43829,8533,9390,8914,8691,8301,33236,8037,7220,6639,5961,5379,19868,5064,4287,3909,3648,2960,9597,2599,2315,1949,1537,1197,2823,939,737,483,394,270,485
109年 10月底,總計,2608332,114422,17645,21251,22700,25376,27450,122808,26953,24247,23503,25750,22355,107976,20146,22292,22528,21877,21133,109919,20680,21044,21604,22460,24131,136318,26940,25493,25317,29386,29182,148193,29523,29485,29632,29523,30030,164241,32465,31768,33563,32570,33875,213905,38101,40702,42862,45577,46663,221890,45087,45860,43771,42474,44698,191853,38345,38928,37654,37774,39152,194292,39854,39447,38966,37393,38632,196090,39477,39216,40080,39049,38268,193328,39300,39143,38587,37166,39132,180619,38746,35968,35679,35497,34729,121390,30216,28900,24020,21736,16518,76839,14668,16695,15892,15195,14389,55760,13664,12355,10971,9890,8880,34158,8276,7254,6684,6332,5612,18026,4905,4274,3610,2930,2307,5328,1763,1325,927,781,532,977
