diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
2000年,女,台北市,何杰金氏淋巴瘤,0.19,2,15.5,15.5,0.15
2000年,女,台北市,白血病,4.04,55,40.75,40.0,4.11
2000年,女,台北市,非何杰金氏淋巴瘤,4.33,62,57.61,60.0,4.64
2000年,女,台北市,漿細胞瘤,0.91,13,68.54,68.0,0.97
2000年,女,台北市,全癌症,248.15,3706,58.3,59.0,277.15
2001年,男,台北市,口腔、口咽及下咽,13.8,209,55.27,53.0,16.07
2001年,男,台北市,主唾液腺,0.74,12,56.25,57.5,0.92
2001年,男,台北市,鼻咽,7.85,116,48.83,48.0,8.92
2001年,男,台北市,食道,8.13,125,65.58,67.0,9.61
2001年,男,台北市,胃,22.67,378,70.68,73.0,29.07
2001年,男,台北市,小腸,0.79,13,66.69,72.0,1.0
2001年,男,台北市,結直腸,38.16,591,66.74,69.0,45.46
2001年,男,台北市,肝及肝內膽管,44.75,669,61.9,63.0,51.45
2001年,男,台北市,膽囊及肝外膽管,2.69,44,69.34,72.0,3.38
2001年,男,台北市,胰,6.02,92,68.32,69.0,7.08
2001年,男,台北市,後腹膜腔及腹膜,0.6,9,59.33,56.0,0.69
2001年,男,台北市,消化器官其他分界不明部位,0.12,2,63.5,63.5,0.15
2001年,男,台北市,鼻腔、中耳及副鼻竇,0.83,12,59.58,60.0,0.92
2001年,男,台北市,喉,4.08,63,66.89,69.0,4.85
2001年,男,台北市,肺、支氣管及氣管,37.28,608,69.76,73.0,46.76
2001年,男,台北市,胸腺、心臟與中隔,1.0,14,55.79,60.5,1.08
2001年,男,台北市,骨、關節及關節軟骨,1.33,17,38.41,37.0,1.31
2001年,男,台北市,結締組織、皮下組織及其他軟組織,1.36,21,59.0,62.0,1.62
2001年,男,台北市,皮膚,8.38,129,62.65,67.0,9.92
2001年,男,台北市,攝護腺,23.19,401,74.41,75.0,30.84
2001年,男,台北市,睪丸,1.88,22,22.36,24.5,1.69
2001年,男,台北市,其他男性生殖器官,0.56,8,64.63,67.0,0.62
2001年,男,台北市,膀胱,8.8,145,69.34,72.0,11.15
2001年,男,台北市,腎,4.86,75,61.68,62.0,5.77
2001年,男,台北市,腎盂及其他泌尿系統,3.74,59,66.53,70.0,4.54
2001年,男,台北市,眼及淚腺,0.5,6,39.5,49.0,0.46
2001年,男,台北市,腦,3.73,51,47.06,48.0,3.92
2001年,男,台北市,其他神經系統,0.3,4,39.25,36.5,0.31
2001年,男,台北市,甲狀腺,2.74,38,48.42,44.0,2.92
2001年,男,台北市,其他內分泌腺,0.21,3,37.0,45.0,0.23
2001年,男,台北市,不明原發部位,4.75,76,65.89,70.0,5.85
2001年,男,台北市,何杰金氏淋巴瘤,0.65,8,33.13,23.0,0.62
2001年,男,台北市,白血病,4.49,60,52.12,61.5,4.61
2001年,男,台北市,非何杰金氏淋巴瘤,6.85,108,62.53,66.0,8.31
2001年,男,台北市,漿細胞瘤,2.02,29,66.69,69.0,2.23
2001年,男,台北市,全癌症,272.62,4256,64.9,69.0,327.34
2001年,女,台北市,口腔、口咽及下咽,2.92,45,58.31,57.0,3.37
2001年,女,台北市,主唾液腺,1.05,14,47.93,54.5,1.05
2001年,女,台北市,鼻咽,2.61,42,48.74,48.5,3.15
2001年,女,台北市,食道,0.82,13,62.15,62.0,0.97
2001年,女,台北市,胃,11.59,178,65.12,67.0,13.35
2001年,女,台北市,小腸,0.65,10,61.1,59.5,0.75
2001年,女,台北市,結直腸,32.51,495,64.7,66.0,37.12
2001年,女,台北市,肝及肝內膽管,20.34,305,64.91,68.0,22.87
2001年,女,台北市,膽囊及肝外膽管,3.04,47,71.09,74.0,3.52
2001年,女,台北市,胰,4.59,71,67.83,70.0,5.32
2001年,女,台北市,後腹膜腔及腹膜,0.17,2,38.0,38.0,0.15
2001年,女,台北市,消化器官其他分界不明部位,0.32,5,62.8,66.0,0.37
2001年,女,台北市,鼻腔、中耳及副鼻竇,0.77,12,57.5,65.0,0.9
2001年,女,台北市,喉,0.11,2,62.0,62.0,0.15
2001年,女,台北市,肺、支氣管及氣管,23.21,356,67.66,69.0,26.69
2001年,女,台北市,胸膜,0.06,1,86.0,86.0,0.07
2001年,女,台北市,胸腺、心臟與中隔,0.83,13,55.31,54.0,0.97
2001年,女,台北市,骨、關節及關節軟骨,0.96,13,36.69,36.0,0.97
2001年,女,台北市,結締組織、皮下組織及其他軟組織,1.64,25,54.84,53.0,1.87
2001年,女,台北市,皮膚,5.84,87,62.45,66.0,6.52
2001年,女,台北市,女性乳房,51.66,831,52.89,50.0,62.31
2001年,女,台北市,子宮,0.06,1,38.0,38.0,0.07
2001年,女,台北市,子宮頸,16.72,262,55.53,53.0,19.65
2001年,女,台北市,子宮體,8.55,132,55.36,53.5,9.9
2001年,女,台北市,卵巢、輸卵管及寬韌帶,8.94,142,50.36,48.0,10.65
2001年,女,台北市,其他女性生殖器官,0.94,15,70.13,74.0,1.12
2001年,女,台北市,膀胱,3.68,56,69.09,71.5,4.2
2001年,女,台北市,腎,2.91,42,61.38,65.0,3.15
2001年,女,台北市,腎盂及其他泌尿系統,3.82,57,65.02,64.0,4.27
2001年,女,台北市,眼及淚腺,0.53,7,32.43,41.0,0.52
2001年,女,台北市,腦,2.31,35,52.03,49.0,2.62
2001年,女,台北市,其他神經系統,0.18,2,36.0,36.0,0.15
2001年,女,台北市,甲狀腺,9.66,150,44.11,42.5,11.25
2001年,女,台北市,其他內分泌腺,0.42,4,8.5,2.5,0.3
2001年,女,台北市,其他分界不明的部位,0.07,1,33.0,33.0,0.07
2001年,女,台北市,不明原發部位,3.86,59,68.92,72.0,4.42
2001年,女,台北市,何杰金氏淋巴瘤,0.61,8,26.88,23.0,0.6
2001年,女,台北市,白血病,4.51,61,45.56,49.0,4.57
2001年,女,台北市,非何杰金氏淋巴瘤,5.08,76,59.17,62.0,5.7
2001年,女,台北市,漿細胞瘤,1.21,19,63.32,69.0,1.42
2001年,女,台北市,全癌症,241.77,3728,58.89,60.0,279.54
2002年,男,台北市,口腔、口咽及下咽,18.1,275,55.76,54.0,21.13
2002年,男,台北市,主唾液腺,1.32,20,45.05,44.0,1.54
2002年,男,台北市,鼻咽,8.89,131,49.84,48.0,10.07
2002年,男,台北市,食道,8.5,131,62.62,63.0,10.07
2002年,男,台北市,胃,21.0,360,69.91,73.0,27.66
2002年,男,台北市,小腸,0.96,16,66.88,74.5,1.23
2002年,男,台北市,結直腸,41.81,674,66.7,70.0,51.79
2002年,男,台北市,肝及肝內膽管,43.02,659,61.6,62.0,50.64
2002年,男,台北市,膽囊及肝外膽管,2.69,46,71.93,75.5,3.53
2002年,男,台北市,胰,5.97,100,69.13,72.5,7.68
2002年,男,台北市,後腹膜腔及腹膜,0.57,8,46.5,45.5,0.61
2002年,男,台北市,消化器官其他分界不明部位,0.12,2,60.5,60.5,0.15
2002年,男,台北市,鼻腔、中耳及副鼻竇,1.02,15,56.53,55.0,1.15
2002年,男,台北市,喉,3.76,58,62.29,61.5,4.46
2002年,男,台北市,肺、支氣管及氣管,36.97,615,69.94,72.0,47.25
2002年,男,台北市,胸膜,0.08,1,61.0,61.0,0.08
2002年,男,台北市,胸腺、心臟與中隔,0.43,6,63.0,68.0,0.46
2002年,男,台北市,骨、關節及關節軟骨,1.06,13,25.31,25.0,1.0
2002年,男,台北市,結締組織、皮下組織及其他軟組織,2.3,33,56.12,58.0,2.54
2002年,男,台北市,皮膚,7.57,123,66.98,71.0,9.45
2002年,男,台北市,男性乳房,0.35,6,57.0,52.5,0.46
2002年,男,台北市,攝護腺,26.48,452,73.75,74.0,34.73
2002年,男,台北市,睪丸,1.22,15,26.27,31.0,1.15
2002年,男,台北市,其他男性生殖器官,0.81,14,65.79,71.0,1.08
2002年,男,台北市,膀胱,9.25,158,69.49,72.0,12.14
2002年,男,台北市,腎,4.52,73,66.03,67.0,5.61
2002年,男,台北市,腎盂及其他泌尿系統,2.43,41,71.17,73.0,3.15
2002年,男,台北市,眼及淚腺,0.2,3,61.67,59.0,0.23
2002年,男,台北市,腦,2.41,33,46.61,50.0,2.54
2002年,男,台北市,其他神經系統,0.32,4,47.0,49.5,0.31
2002年,男,台北市,甲狀腺,3.23,48,47.52,47.0,3.69
2002年,男,台北市,其他內分泌腺,0.38,5,51.4,62.0,0.38
2002年,男,台北市,不明原發部位,3.61,62,71.84,74.0,4.76
2002年,男,台北市,何杰金氏淋巴瘤,0.71,10,50.3,50.5,0.77
2002年,男,台北市,白血病,8.42,119,50.39,60.0,9.14
2002年,男,台北市,非何杰金氏淋巴瘤,7.54,124,60.73,68.0,9.53
2002年,男,台北市,漿細胞瘤,1.38,23,68.17,71.0,1.77
2002年,男,台北市,全癌症,280.66,4499,64.81,68.0,345.69
2002年,女,台北市,口腔、口咽及下咽,2.28,38,58.21,58.0,2.83
2002年,女,台北市,主唾液腺,1.0,14,34.43,33.0,1.04
2002年,女,台北市,鼻咽,2.88,47,46.98,45.0,3.51
2002年,女,台北市,食道,1.6,26,69.58,72.5,1.94
2002年,女,台北市,胃,11.85,193,66.18,68.0,14.4
2002年,女,台北市,小腸,0.23,4,54.0,49.5,0.3
2002年,女,台北市,結直腸,31.32,500,66.17,69.0,37.3
2002年,女,台北市,肝及肝內膽管,16.49,259,65.93,68.0,19.32
2002年,女,台北市,膽囊及肝外膽管,3.18,51,72.04,72.0,3.8
2002年,女,台北市,胰,4.21,68,70.94,74.0,5.07
2002年,女,台北市,後腹膜腔及腹膜,0.81,11,48.27,54.0,0.82
2002年,女,台北市,消化器官其他分界不明部位,0.12,2,76.5,76.5,0.15
2002年,女,台北市,鼻腔、中耳及副鼻竇,0.41,6,68.83,68.5,0.45
2002年,女,台北市,喉,0.26,4,64.0,66.5,0.3
2002年,女,台北市,肺、支氣管及氣管,24.14,386,67.44,70.0,28.8
2002年,女,台北市,胸腺、心臟與中隔,1.06,14,45.07,51.0,1.04
2002年,女,台北市,骨、關節及關節軟骨,0.53,8,49.88,51.0,0.6
2002年,女,台北市,結締組織、皮下組織及其他軟組織,1.06,17,53.71,48.0,1.27
2002年,女,台北市,皮膚,6.16,101,63.41,64.0,7.54
2002年,女,台北市,女性乳房,56.76,938,52.83,51.0,69.98
2002年,女,台北市,子宮頸,15.26,254,57.07,53.5,18.95
2002年,女,台北市,子宮體,8.15,133,54.8,53.0,9.92
2002年,女,台北市,卵巢、輸卵管及寬韌帶,9.21,146,53.7,52.5,10.89
2002年,女,台北市,其他女性生殖器官,0.99,16,65.0,68.0,1.19
2002年,女,台北市,膀胱,3.67,57,66.61,69.0,4.25
2002年,女,台北市,腎,2.1,33,60.27,65.0,2.46
2002年,女,台北市,腎盂及其他泌尿系統,2.92,45,68.64,71.0,3.36
2002年,女,台北市,眼及淚腺,0.19,2,35.5,35.5,0.15
2002年,女,台北市,腦,2.77,39,42.05,44.0,2.91
2002年,女,台北市,其他神經系統,0.08,1,29.0,29.0,0.07
2002年,女,台北市,甲狀腺,10.11,160,46.82,46.0,11.94
2002年,女,台北市,其他內分泌腺,0.48,7,50.43,50.0,0.52
2002年,女,台北市,其他分界不明的部位,0.13,2,78.5,78.5,0.15
2002年,女,台北市,不明原發部位,3.41,55,67.29,72.0,4.1
2002年,女,台北市,何杰金氏淋巴瘤,0.47,6,30.67,27.0,0.45
2002年,女,台北市,白血病,6.14,86,50.02,53.5,6.42
2002年,女,台北市,非何杰金氏淋巴瘤,5.48,86,60.94,66.0,6.42
2002年,女,台北市,漿細胞瘤,1.28,20,69.95,71.0,1.49
2002年,女,台北市,全癌症,240.03,3849,59.42,60.0,287.15
2003年,男,台北市,口腔、口咽及下咽,18.5,287,53.92,52.0,22.22
2003年,男,台北市,主唾液腺,0.56,7,52.0,59.0,0.54
2003年,男,台北市,鼻咽,8.13,125,51.78,50.0,9.68
2003年,男,台北市,食道,6.93,109,64.14,64.0,8.44
2003年,男,台北市,胃,16.75,289,69.94,73.0,22.37
2003年,男,台北市,小腸,1.11,18,63.11,69.5,1.39
2003年,男,台北市,結直腸,35.46,583,67.15,70.0,45.13
2003年,男,台北市,肝及肝內膽管,39.2,609,62.12,63.0,47.15
2003年,男,台北市,膽囊及肝外膽管,2.06,35,69.31,73.0,2.71
2003年,男,台北市,胰,4.36,72,67.29,68.5,5.57
2003年,男,台北市,後腹膜腔及腹膜,0.44,6,50.67,53.5,0.46
2003年,男,台北市,消化器官其他分界不明部位,0.09,2,76.0,76.0,0.15
2003年,男,台北市,鼻腔、中耳及副鼻竇,1.03,15,58.53,64.0,1.16
2003年,男,台北市,喉,3.07,49,63.31,67.0,3.79
2003年,男,台北市,肺、支氣管及氣管,36.14,629,70.71,73.0,48.69
2003年,男,台北市,胸膜,0.27,5,72.6,80.0,0.39
2003年,男,台北市,胸腺、心臟與中隔,1.17,18,53.94,53.5,1.39
2003年,男,台北市,骨、關節及關節軟骨,0.74,10,41.1,31.0,0.77
2003年,男,台北市,結締組織、皮下組織及其他軟組織,1.82,27,57.33,62.0,2.09
2003年,男,台北市,皮膚,5.88,99,65.14,71.0,7.66
2003年,男,台北市,男性乳房,0.27,5,67.2,73.0,0.39
2003年,男,台北市,攝護腺,22.96,410,73.55,75.0,31.74
2003年,男,台北市,睪丸,0.62,8,28.5,25.5,0.62
2003年,男,台北市,其他男性生殖器官,0.61,11,68.36,70.0,0.85
2003年,男,台北市,膀胱,7.63,133,69.23,72.0,10.3
2003年,男,台北市,腎,3.73,61,62.46,63.0,4.72
2003年,男,台北市,腎盂及其他泌尿系統,3.6,61,65.25,70.0,4.72
2003年,男,台北市,眼及淚腺,0.36,5,51.2,53.0,0.39
2003年,男,台北市,腦,3.17,45,43.84,42.0,3.48
2003年,男,台北市,其他神經系統,0.23,3,42.33,51.0,0.23
2003年,男,台北市,甲狀腺,2.79,41,52.39,53.0,3.17
2003年,男,台北市,其他內分泌腺,0.41,5,45.0,56.0,0.39
2003年,男,台北市,其他分界不明的部位,0.04,1,83.0,83.0,0.08
2003年,男,台北市,不明原發部位,3.85,63,67.56,70.0,4.88
2003年,男,台北市,何杰金氏淋巴瘤,0.93,11,36.73,27.0,0.85
2003年,男,台北市,白血病,8.38,126,55.9,70.0,9.75
2003年,男,台北市,非何杰金氏淋巴瘤,8.08,124,59.84,62.0,9.6
2003年,男,台北市,漿細胞瘤,1.83,30,64.8,66.5,2.32
2003年,男,台北市,全癌症,254.21,4151,64.71,68.0,321.35
2003年,女,台北市,口腔、口咽及下咽,2.45,41,56.44,53.0,3.07
2003年,女,台北市,主唾液腺,0.57,9,58.33,57.0,0.67
2003年,女,台北市,鼻咽,2.83,45,50.44,50.0,3.37
2003年,女,台北市,食道,0.89,15,66.4,63.0,1.12
2003年,女,台北市,胃,9.87,166,65.3,66.5,12.43
2003年,女,台北市,小腸,0.79,13,66.46,67.0,0.97
2003年,女,台北市,結直腸,28.41,473,65.55,68.0,35.42
2003年,女,台北市,肝及肝內膽管,15.85,256,67.31,68.0,19.17
2003年,女,台北市,膽囊及肝外膽管,1.86,31,73.03,74.0,2.32
2003年,女,台北市,胰,4.43,76,68.67,71.5,5.69
2003年,女,台北市,後腹膜腔及腹膜,0.8,12,50.58,55.5,0.9
2003年,女,台北市,鼻腔、中耳及副鼻竇,0.52,8,49.63,45.5,0.6
2003年,女,台北市,喉,0.19,3,58.67,70.0,0.22
2003年,女,台北市,肺、支氣管及氣管,19.55,325,66.64,68.0,24.34
2003年,女,台北市,胸腺、心臟與中隔,0.73,12,51.42,52.0,0.9
2003年,女,台北市,骨、關節及關節軟骨,0.33,5,50.0,47.0,0.37
2003年,女,台北市,結締組織、皮下組織及其他軟組織,1.68,28,61.68,63.5,2.1
2003年,女,台北市,皮膚,4.3,71,62.86,64.0,5.32
2003年,女,台北市,女性乳房,52.89,892,53.14,51.0,66.8
2003年,女,台北市,子宮頸,13.43,221,55.76,55.0,16.55
2003年,女,台北市,子宮體,6.62,112,54.62,53.0,8.39
2003年,女,台北市,卵巢、輸卵管及寬韌帶,8.94,149,51.93,51.0,11.16
2003年,女,台北市,其他女性生殖器官,1.37,24,62.46,57.0,1.8
2003年,女,台北市,膀胱,3.77,63,67.89,71.0,4.72
2003年,女,台北市,腎,2.97,49,61.9,63.0,3.67
2003年,女,台北市,腎盂及其他泌尿系統,3.26,54,69.07,71.0,4.04
2003年,女,台北市,腦,2.42,36,44.08,48.0,2.7
2003年,女,台北市,其他神經系統,0.05,1,41.0,41.0,0.07
2003年,女,台北市,甲狀腺,8.26,133,45.66,43.0,9.96
2003年,女,台北市,其他內分泌腺,0.43,6,51.0,56.5,0.45
2003年,女,台北市,不明原發部位,3.37,57,68.42,73.0,4.27
2003年,女,台北市,何杰金氏淋巴瘤,0.61,9,36.11,35.0,0.67
2003年,女,台北市,白血病,5.94,87,51.52,52.0,6.51
2003年,女,台北市,非何杰金氏淋巴瘤,5.98,97,56.8,56.0,7.26
2003年,女,台北市,漿細胞瘤,1.14,19,65.11,61.0,1.42
2003年,女,台北市,全癌症,218.42,3613,59.19,59.0,270.56
2004年,男,台北市,口腔、口咽及下咽,21.11,329,55.29,54.0,25.58
2004年,男,台北市,主唾液腺,1.07,16,57.31,57.5,1.24
2004年,男,台北市,鼻咽,7.02,108,52.89,51.0,8.4
2004年,男,台北市,食道,8.58,134,60.63,60.5,10.42
2004年,男,台北市,胃,17.63,315,70.34,73.0,24.49
2004年,男,台北市,小腸,0.93,15,63.2,64.0,1.17
2004年,男,台北市,結直腸,43.2,717,66.6,68.0,55.74
2004年,男,台北市,肝及肝內膽管,41.48,668,62.49,63.0,51.93
2004年,男,台北市,膽囊及肝外膽管,2.79,48,69.0,72.0,3.73
2004年,男,台北市,胰,5.7,97,66.31,68.0,7.54
2004年,男,台北市,後腹膜腔及腹膜,0.53,8,52.88,52.5,0.62
2004年,男,台北市,消化器官其他分界不明部位,0.16,3,71.67,76.0,0.23
2004年,男,台北市,鼻腔、中耳及副鼻竇,0.87,14,65.57,63.5,1.09
2004年,男,台北市,喉,3.11,53,66.58,68.0,4.12
2004年,男,台北市,肺、支氣管及氣管,40.97,738,71.76,75.0,57.37
2004年,男,台北市,胸膜,0.15,2,50.0,50.0,0.16
2004年,男,台北市,胸腺、心臟與中隔,0.88,14,61.07,59.0,1.09
2004年,男,台北市,骨、關節及關節軟骨,0.65,9,46.0,32.0,0.7
2004年,男,台北市,結締組織、皮下組織及其他軟組織,1.9,29,52.41,52.0,2.25
2004年,男,台北市,皮膚,8.31,147,67.39,71.0,11.43
2004年,男,台北市,男性乳房,0.28,6,73.67,79.5,0.47
2004年,男,台北市,攝護腺,26.62,494,74.11,75.0,38.4
2004年,男,台北市,睪丸,0.69,9,30.44,27.0,0.7
2004年,男,台北市,其他男性生殖器官,0.59,10,65.9,70.5,0.78
2004年,男,台北市,膀胱,8.94,158,68.82,72.0,12.28
2004年,男,台北市,腎,4.3,72,63.32,68.5,5.6
2004年,男,台北市,腎盂及其他泌尿系統,3.03,54,68.56,72.0,4.2
2004年,男,台北市,眼及淚腺,0.1,2,61.5,61.5,0.16
2004年,男,台北市,腦,2.75,39,46.36,48.0,3.03
2004年,男,台北市,其他神經系統,0.13,2,54.5,54.5,0.16
2004年,男,台北市,甲狀腺,3.51,53,50.42,49.0,4.12
2004年,男,台北市,其他內分泌腺,0.36,5,52.4,67.0,0.39
2004年,男,台北市,不明原發部位,4.24,71,65.18,67.0,5.52
2004年,男,台北市,何杰金氏淋巴瘤,0.83,11,36.45,32.0,0.86
2004年,男,台北市,白血病,6.89,106,57.82,68.5,8.24
2004年,男,台北市,非何杰金氏淋巴瘤,9.21,147,61.13,66.0,11.43
2004年,男,台北市,漿細胞瘤,1.57,28,69.89,73.0,2.18
2004年,男,台北市,全癌症,282.66,4755,65.56,69.0,369.66
2004年,女,台北市,口腔、口咽及下咽,2.51,43,60.35,58.0,3.22
2004年,女,台北市,主唾液腺,0.52,9,56.0,54.0,0.67
2004年,女,台北市,鼻咽,2.15,37,51.46,50.0,2.77
2004年,女,台北市,食道,0.84,15,70.4,75.0,1.12
2004年,女,台北市,胃,9.97,177,66.83,71.0,13.25
2004年,女,台北市,小腸,0.83,14,62.0,66.5,1.05
2004年,女,台北市,結直腸,31.69,546,65.9,67.0,40.86
2004年,女,台北市,肝及肝內膽管,14.74,252,67.82,71.0,18.86
2004年,女,台北市,膽囊及肝外膽管,2.41,42,69.52,70.5,3.14
2004年,女,台北市,胰,4.53,76,66.84,68.0,5.69
2004年,女,台北市,後腹膜腔及腹膜,0.6,9,47.33,49.0,0.67
2004年,女,台北市,消化器官其他分界不明部位,0.05,1,79.0,79.0,0.07
2004年,女,台北市,鼻腔、中耳及副鼻竇,0.44,7,49.29,49.0,0.52
2004年,女,台北市,喉,0.23,4,66.5,69.5,0.3
2004年,女,台北市,肺、支氣管及氣管,21.34,365,66.52,68.0,27.32
2004年,女,台北市,胸膜,0.12,2,73.0,73.0,0.15
2004年,女,台北市,胸腺、心臟與中隔,0.55,10,54.0,52.0,0.75
2004年,女,台北市,骨、關節及關節軟骨,1.04,13,32.0,31.0,0.97
2004年,女,台北市,結締組織、皮下組織及其他軟組織,1.87,28,47.75,49.5,2.1
2004年,女,台北市,皮膚,5.55,95,67.05,73.0,7.11
2004年,女,台北市,女性乳房,60.88,1059,52.59,50.0,79.26
2004年,女,台北市,子宮,0.05,1,54.0,54.0,0.07
2004年,女,台北市,子宮頸,13.17,228,56.73,53.0,17.06
2004年,女,台北市,子宮體,8.66,152,56.11,52.5,11.38
2004年,女,台北市,卵巢、輸卵管及寬韌帶,9.16,158,53.42,52.0,11.82
2004年,女,台北市,其他女性生殖器官,0.9,16,60.63,60.5,1.2
2004年,女,台北市,膀胱,3.88,68,65.28,67.0,5.09
2004年,女,台北市,腎,2.83,46,57.96,61.5,3.44
2004年,女,台北市,腎盂及其他泌尿系統,3.23,54,68.94,68.0,4.04
2004年,女,台北市,眼及淚腺,0.19,2,27.0,27.0,0.15
2004年,女,台北市,腦,2.06,30,43.5,47.0,2.25
2004年,女,台北市,其他神經系統,0.33,5,52.8,64.0,0.37
2004年,女,台北市,甲狀腺,11.06,178,45.07,42.5,13.32
2004年,女,台北市,其他內分泌腺,0.3,3,31.0,5.0,0.22
2004年,女,台北市,不明原發部位,2.91,51,68.1,68.0,3.82
2004年,女,台北市,何杰金氏淋巴瘤,0.48,7,32.29,31.0,0.52
2004年,女,台北市,白血病,6.12,87,51.56,56.0,6.51
2004年,女,台北市,非何杰金氏淋巴瘤,6.08,102,60.03,62.0,7.63
2004年,女,台北市,漿細胞瘤,1.18,20,60.25,60.5,1.5
2004年,女,台北市,全癌症,236.1,4022,58.99,58.5,301.01
2005年,男,台北市,口腔、口咽及下咽,18.83,304,53.68,52.0,23.76
2005年,男,台北市,主唾液腺,0.43,8,61.25,53.0,0.63
2005年,男,台北市,鼻咽,6.88,109,51.93,52.0,8.52
2005年,男,台北市,食道,6.63,113,66.65,66.0,8.83
2005年,男,台北市,胃,16.8,308,70.18,73.0,24.07
2005年,男,台北市,小腸,0.82,14,61.57,61.0,1.09
2005年,男,台北市,結直腸,41.82,715,67.08,69.0,55.88
2005年,男,台北市,肝及肝內膽管,39.72,653,62.68,64.0,51.04
2005年,男,台北市,膽囊及肝外膽管,2.8,48,69.9,70.5,3.75
2005年,男,台北市,胰,4.8,87,68.13,72.0,6.8
2005年,男,台北市,後腹膜腔及腹膜,0.75,8,24.63,19.0,0.63
2005年,男,台北市,消化器官其他分界不明部位,0.04,1,76.0,76.0,0.08
2005年,男,台北市,鼻腔、中耳及副鼻竇,0.87,14,56.14,53.0,1.09
2005年,男,台北市,喉,4.16,70,65.1,63.0,5.47
2005年,男,台北市,肺、支氣管及氣管,37.22,673,70.07,74.0,52.6
2005年,男,台北市,胸膜,0.08,1,34.0,34.0,0.08
2005年,男,台北市,胸腺、心臟與中隔,0.9,14,57.93,65.0,1.09
2005年,男,台北市,骨、關節及關節軟骨,0.35,5,44.0,48.0,0.39
2005年,男,台北市,結締組織、皮下組織及其他軟組織,1.96,31,57.74,66.0,2.42
2005年,男,台北市,皮膚,6.39,106,63.1,66.0,8.28
2005年,男,台北市,男性乳房,0.12,2,71.5,71.5,0.16
2005年,男,台北市,攝護腺,26.22,495,74.03,75.0,38.69
2005年,男,台北市,睪丸,1.52,19,35.0,34.0,1.48
2005年,男,台北市,其他男性生殖器官,0.77,13,61.08,58.0,1.02
2005年,男,台北市,膀胱,8.04,145,69.97,72.0,11.33
2005年,男,台北市,腎,4.43,74,61.66,64.0,5.78
2005年,男,台北市,腎盂及其他泌尿系統,2.77,50,68.86,71.0,3.91
2005年,男,台北市,眼及淚腺,0.16,2,28.0,28.0,0.16
2005年,男,台北市,腦,2.77,39,49.1,52.0,3.05
2005年,男,台北市,其他神經系統,0.22,3,43.33,47.0,0.23
2005年,男,台北市,甲狀腺,3.67,58,52.66,51.0,4.53
2005年,男,台北市,其他內分泌腺,0.38,4,23.25,25.5,0.31
2005年,男,台北市,不明原發部位,3.77,68,67.03,70.0,5.31
2005年,男,台北市,何杰金氏淋巴瘤,0.52,7,40.43,28.0,0.55
2005年,男,台北市,白血病,7.71,119,59.31,69.0,9.3
2005年,男,台北市,非何杰金氏淋巴瘤,6.76,111,63.0,66.0,8.68
2005年,男,台北市,漿細胞瘤,1.54,28,73.61,77.0,2.19
2005年,男,台北市,全癌症,264.76,4536,65.38,68.0,354.51
2005年,女,台北市,口腔、口咽及下咽,3.15,56,61.88,61.5,4.19
2005年,女,台北市,主唾液腺,0.55,9,42.67,44.0,0.67
2005年,女,台北市,鼻咽,3.61,61,50.23,50.0,4.56
2005年,女,台北市,食道,0.72,13,72.46,73.0,0.97
2005年,女,台北市,胃,9.16,171,66.61,69.0,12.79
2005年,女,台北市,小腸,0.47,8,61.63,62.5,0.6
2005年,女,台北市,結直腸,31.65,568,65.17,66.0,42.49
2005年,女,台北市,肝及肝內膽管,15.22,262,67.34,69.0,19.6
2005年,女,台北市,膽囊及肝外膽管,2.24,40,69.45,71.5,2.99
2005年,女,台北市,胰,4.44,81,66.94,71.0,6.06
2005年,女,台北市,後腹膜腔及腹膜,0.76,12,51.5,50.0,0.9
2005年,女,台北市,消化器官其他分界不明部位,0.05,1,52.0,52.0,0.07
2005年,女,台北市,鼻腔、中耳及副鼻竇,0.29,5,66.0,75.0,0.37
2005年,女,台北市,喉,0.17,3,72.33,75.0,0.22
2005年,女,台北市,肺、支氣管及氣管,21.91,395,66.92,67.0,29.55
2005年,女,台北市,胸膜,0.07,1,64.0,64.0,0.07
2005年,女,台北市,胸腺、心臟與中隔,0.75,12,57.5,59.0,0.9
2005年,女,台北市,骨、關節及關節軟骨,0.67,8,29.38,22.5,0.6
2005年,女,台北市,結締組織、皮下組織及其他軟組織,1.27,21,56.24,62.0,1.57
2005年,女,台北市,皮膚,7.19,128,65.16,67.0,9.57
2005年,女,台北市,女性乳房,65.73,1167,53.08,51.0,87.29
2005年,女,台北市,子宮,0.05,1,44.0,44.0,0.07
2005年,女,台北市,子宮頸,11.51,208,58.02,54.0,15.56
2005年,女,台北市,子宮體,9.08,162,53.2,52.5,12.12
2005年,女,台北市,卵巢、輸卵管及寬韌帶,8.15,139,53.75,52.0,10.4
2005年,女,台北市,其他女性生殖器官,0.75,13,60.46,64.0,0.97
2005年,女,台北市,膀胱,3.76,67,68.85,71.0,5.01
2005年,女,台北市,腎,1.99,35,62.31,66.0,2.62
2005年,女,台北市,腎盂及其他泌尿系統,3.2,56,67.29,69.5,4.19
2005年,女,台北市,眼及淚腺,0.33,3,21.67,6.0,0.22
2005年,女,台北市,腦,2.29,33,47.24,51.0,2.47
2005年,女,台北市,其他神經系統,0.39,5,46.8,57.0,0.37
