diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
1980年,女,台北市,膽囊及肝外膽管,1.65,9,64.11,61.0,0.84
1980年,女,台北市,胰,1.76,12,57.0,53.0,1.12
1980年,女,台北市,後腹膜腔及腹膜,0.27,2,58.0,58.0,0.19
1980年,女,台北市,消化器官其他分界不明部位,0.16,1,65.0,65.0,0.09
1980年,女,台北市,鼻腔、中耳及副鼻竇,0.51,4,41.25,40.0,0.37
1980年,女,台北市,喉,0.46,3,63.0,66.0,0.28
1980年,女,台北市,肺、支氣管及氣管,15.16,102,57.88,59.0,9.53
1980年,女,台北市,胸膜,0.11,1,44.0,44.0,0.09
1980年,女,台北市,胸腺、心臟與中隔,0.43,3,51.33,47.0,0.28
1980年,女,台北市,骨、關節及關節軟骨,0.72,8,33.63,28.0,0.75
1980年,女,台北市,結締組織、皮下組織及其他軟組織,0.51,5,40.0,29.0,0.47
1980年,女,台北市,皮膚,3.0,21,53.76,57.0,1.96
1980年,女,台北市,女性乳房,30.85,242,49.21,50.0,22.6
1980年,女,台北市,子宮,0.68,5,52.6,53.0,0.47
1980年,女,台北市,子宮頸,48.46,356,52.21,52.0,33.25
1980年,女,台北市,子宮體,3.48,24,56.5,57.0,2.24
1980年,女,台北市,卵巢、輸卵管及寬韌帶,5.44,40,52.55,56.5,3.74
1980年,女,台北市,其他女性生殖器官,0.84,7,47.29,49.0,0.65
1980年,女,台北市,膀胱,3.43,23,59.04,64.0,2.15
1980年,女,台北市,腎,0.9,6,53.17,61.5,0.56
1980年,女,台北市,腎盂及其他泌尿系統,1.68,12,56.17,59.0,1.12
1980年,女,台北市,眼及淚腺,0.37,2,64.0,64.0,0.19
1980年,女,台北市,腦,1.5,17,27.88,31.0,1.59
1980年,女,台北市,其他神經系統,0.19,2,37.0,37.0,0.19
1980年,女,台北市,甲狀腺,5.5,49,42.42,41.0,4.58
1980年,女,台北市,其他分界不明的部位,0.54,4,49.75,48.5,0.37
1980年,女,台北市,不明原發部位,3.31,23,55.74,57.0,2.15
1980年,女,台北市,何杰金氏淋巴瘤,0.29,2,55.5,55.5,0.19
1980年,女,台北市,白血病,2.53,28,23.32,18.5,2.61
1980年,女,台北市,非何杰金氏淋巴瘤,0.69,7,38.71,31.0,0.65
1980年,女,台北市,漿細胞瘤,0.41,3,53.67,59.0,0.28
1980年,女,台北市,全癌症,190.01,1414,51.3,53.0,132.05
1981年,男,台北市,口腔、口咽及下咽,3.34,30,55.03,56.0,2.56
1981年,男,台北市,主唾液腺,0.9,9,51.33,54.0,0.77
1981年,男,台北市,鼻咽,8.31,88,44.66,45.5,7.51
1981年,男,台北市,食道,9.73,84,62.71,63.0,7.17
1981年,男,台北市,胃,29.95,264,60.35,61.0,22.54
1981年,男,台北市,小腸,0.49,5,57.8,62.0,0.43
1981年,男,台北市,結直腸,24.03,209,57.04,58.0,17.84
1981年,男,台北市,肝及肝內膽管,23.13,237,53.72,57.0,20.24
1981年,男,台北市,膽囊及肝外膽管,1.57,13,57.46,57.0,1.11
1981年,男,台北市,胰,2.27,25,56.64,57.0,2.13
1981年,男,台北市,後腹膜腔及腹膜,0.18,2,62.5,62.5,0.17
1981年,男,台北市,消化器官其他分界不明部位,0.09,1,52.0,52.0,0.09
1981年,男,台北市,鼻腔、中耳及副鼻竇,0.85,8,53.38,53.5,0.68
1981年,男,台北市,喉,2.83,29,59.03,62.0,2.48
1981年,男,台北市,肺、支氣管及氣管,30.43,266,61.76,62.0,22.71
1981年,男,台北市,胸腺、心臟與中隔,0.34,1,81.0,81.0,0.09
1981年,男,台北市,骨、關節及關節軟骨,1.44,11,44.91,52.0,0.94
1981年,男,台北市,結締組織、皮下組織及其他軟組織,1.69,14,37.64,38.5,1.2
1981年,男,台北市,皮膚,3.07,27,60.26,62.0,2.31
1981年,男,台北市,男性乳房,0.11,1,65.0,65.0,0.09
1981年,男,台北市,攝護腺,4.21,32,67.09,68.0,2.73
1981年,男,台北市,睪丸,0.07,1,28.0,28.0,0.09
1981年,男,台北市,其他男性生殖器官,0.54,5,58.2,62.0,0.43
1981年,男,台北市,膀胱,7.11,53,64.66,64.0,4.53
1981年,男,台北市,腎,1.36,11,59.18,65.0,0.94
1981年,男,台北市,腎盂及其他泌尿系統,2.3,21,62.0,63.0,1.79
1981年,男,台北市,眼及淚腺,0.37,4,45.25,55.5,0.34
1981年,男,台北市,腦,1.78,20,35.1,39.5,1.71
1981年,男,台北市,其他神經系統,0.15,2,10.5,10.5,0.17
1981年,男,台北市,甲狀腺,0.94,9,53.11,51.0,0.77
1981年,男,台北市,其他分界不明的部位,0.78,9,49.67,57.0,0.77
1981年,男,台北市,不明原發部位,1.71,17,53.76,54.0,1.45
1981年,男,台北市,何杰金氏淋巴瘤,0.2,2,49.0,49.0,0.17
1981年,男,台北市,白血病,3.22,33,28.76,19.0,2.82
1981年,男,台北市,非何杰金氏淋巴瘤,1.32,10,65.1,69.0,0.85
1981年,男,台北市,漿細胞瘤,0.82,8,61.88,63.0,0.68
1981年,男,台北市,全癌症,174.23,1588,56.67,59.0,135.59
1981年,女,台北市,口腔、口咽及下咽,3.46,25,56.56,60.0,2.27
1981年,女,台北市,主唾液腺,0.9,6,56.33,55.0,0.55
1981年,女,台北市,鼻咽,5.32,48,44.56,44.0,4.36
1981年,女,台北市,食道,3.29,21,62.62,65.0,1.91
1981年,女,台北市,胃,15.04,100,60.72,63.0,9.09
1981年,女,台北市,小腸,0.26,3,30.0,28.0,0.27
1981年,女,台北市,結直腸,17.6,123,57.44,57.0,11.18
1981年,女,台北市,肝及肝內膽管,7.02,48,58.85,59.5,4.36
1981年,女,台北市,膽囊及肝外膽管,1.42,9,62.89,64.0,0.82
1981年,女,台北市,胰,2.1,13,60.08,60.0,1.18
1981年,女,台北市,後腹膜腔及腹膜,0.16,1,65.0,65.0,0.09
1981年,女,台北市,消化器官其他分界不明部位,0.13,1,59.0,59.0,0.09
1981年,女,台北市,鼻腔、中耳及副鼻竇,0.53,4,52.25,50.0,0.36
1981年,女,台北市,喉,0.49,4,52.5,54.5,0.36
1981年,女,台北市,肺、支氣管及氣管,14.84,98,60.91,61.0,8.91
1981年,女,台北市,胸膜,0.08,1,19.0,19.0,0.09
1981年,女,台北市,胸腺、心臟與中隔,0.13,1,57.0,57.0,0.09
1981年,女,台北市,骨、關節及關節軟骨,0.66,4,59.75,59.5,0.36
1981年,女,台北市,結締組織、皮下組織及其他軟組織,1.33,12,39.0,34.5,1.09
1981年,女,台北市,皮膚,3.03,20,58.55,69.5,1.82
1981年,女,台北市,女性乳房,25.45,219,47.08,46.0,19.91
1981年,女,台北市,子宮,0.36,3,49.33,59.0,0.27
1981年,女,台北市,子宮頸,35.23,263,53.83,54.0,23.91
