,特材收錄品項表,,,,,,,,,,,,,,,,,,,,,,,,
大類碼,大小類碼,大小類碼名稱,品名碼,功能類別,功能類別名稱,核價類別名稱,特材代碼,中英文品名,中文品名,英文品名,產品型號/規格,單位,支付點數,核定費用,生效日期,事前審查生效日期,事前審查,給付規定代碼,生效迄日,申請者簡稱,許可證字號,自付差額品名,整組組件特材關聯代碼表,給付類別,
'A,'AC, 導管接頭類, 'P01, 'ACP01, 灌流接頭(開心用) , 開心用灌流接頭/直型、Y型接頭, ACP0146201H9," ""華億""體外循環管組""HYM""HEART LUNG PACK-Y & STRAIGHT & REDUCER CONNECTOR(WITH LUER)"," ""華億""體外循環管組:開心用灌流接頭(直型、Y型、漸細接頭)"," ""HYM"" HEART LUNG PACK:Y ＆ STRAIGHT ＆ REDUCER CONNECTOR(WITH LUER)", '47-000021-01:10;47-000022-01:10;47-000054-01:04;47-000055-01:04;47-000166-01:04;47-000167-00:01, EA,88, , 099/08/01, 096/04/01,N,無, 999/12/31, 華億,衛署醫器製字第001297號,  , , ,
'A,'AC, 導管接頭類, 'P01, 'ACP01, 灌流接頭(開心用) , 開心用灌流接頭/直型、Y型接頭, ACP0147166GJ, “吉生”體外循環管組-Y型&直型&漸細連接器(附LUER) ”JSM” HEART LUNG PACK-Y&STRAIGHT&REDUCER CONNECTOR(WITH LUER)," ""吉生""體外循環管組:開心用灌流接頭(直型、Y型、漸細接頭)"," ""JSM""HEART LUNG PACK:Y＆STRAIGHT＆REDUCER CONNECTOR(WITH LUER)", '47-000021:22-01:1247-000054:55-01:0447-000166:167-01:04(47-000167-00自1040301生效), 個,88, , 104/03/01, 102/11/01,N,無, 999/12/31, 吉生,衛署醫器製字第003920號,  , , ,
'C,'CH, 導管接頭類, 'C01, 'CHC01, 冠狀動脈導管 , 分流導管/四條, ACP0214003M4," ""美敦力""多重灌流組""MEDTRONIC"" DLP MULTIPLE PERFUSION SETS"," ""美敦力""多重灌流組"," ""MEDTRONIC"" DLP MULTIPLE PERFUSION SETS", '14000;14003, 條,657, , 112/05/01, 112/05/01,N,B202-2, 999/12/31, 美敦力,衛署醫器輸字第009163號,  , , ,
'A,'AC, 導管接頭類, 'PD1, 'ACPD1, 腹膜透析鈦接頭 , 腹膜透析鈦接頭, ACPD1C4129BT," ""百特""鈦金屬接頭 ""BAXTER"" ADAPTER FOR PERITONEAL DIALYSIS CATHETER"," ""百特""鈦金屬接頭:腹膜透析鈦接頭"," ""BAXTER"" ADAPTER FOR PERITONEAL DIALYSIS CATHETER", '5C4129, EA,1482, , 104/01/01, 091/01/01,N,無, 999/12/31, 百特,衛署醫器輸字第007745號,  , , ,
'A,'AC, 導管接頭類, 'PD1, 'ACPD1, 腹膜透析鈦接頭 , 腹膜透析鈦接頭, ACPD1MTC01M0, “美康”腹膜透析導管及配件：鈦金屬接頭“MEDCOMP” PERITONEAL DIALYSIS CATHETER AND ACCESSORIES, “美康”腹膜透析導管及配件：鈦金屬接頭, “Medcomp” Peritoneal Dialysis Catheter and Accessories, 'MTC, 組,1482, , 107/03/01, 107/03/01,N,無, 999/12/31, 百特,衛部醫器輸字第030203號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACPTCGYCAB8G," ""吉諾司""擴張壓力泵及其配件""GENOSS""GENOSS INFLATOR B30/ GENOSS INFLATOR B40 AND ACCESSORIES"," ""吉諾司""擴張壓力泵及其配件"," ""Genoss""GENOSS Inflator B30/ GENOSS Inflator B40 and accessories", 'GYC-A19;GYC-A20;GYC-B19;GYC-B20, 組,915, , 114/01/01, 114/01/01,N,無, 999/12/31, 埃默高,衛部醫器輸字第035328號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACPTCPFLPW5S," ""昕力""一次性使用Y型連接器套件""SUNMED"" HAEMOSTATIC VALVES"," ""昕力""一次性使用Y型連接器套件"," ""SunMed"" Haemostatic Valves", 'SM-HV-8PFLPW-TB, 組,915, , 112/02/01, 108/07/01,N,無, 999/12/31, 凱薩琳,衛部醫器陸輸字第000977號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACPTCYCNTR8R, “亞提斯” Y型連接器“ARTHESYS” Y-CONNECTOR, “亞提斯” Y型連接器, “Arthesys” Y-Connector, '18020005:18020013, 組,915, , 112/02/01, 110/09/01,N,無, 999/12/31, 凱薩琳,衛部醫器輸字第034464號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACPTCYCPZZ22, “亞特斯”Y字型連接器“SYNCESS”Y Connector, “亞特斯”Y字型連接器, “SYNCESS”Y Connector, '18020005;18020006;18020007;18020008;18020009;18020010;18020011;18020012;18020013, 組,915, , 114/05/01, 114/05/01,N,無, 999/12/31, 匯悅,衛部醫器輸字第037491號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞接頭, ACS0109512BB, “柏朗”輸液轉換活塞DISCOFIX MULTIDIRECTIONAL STOPCOCKS-DISCOFIX," ""柏朗""輸液轉換活塞:三路活塞接頭", DISCOFIX MULTIDIRECTIONAL STOPCOCKS:3 WAY STOPCOCK, '4095111;4095120, EA,7, , 112/02/01, 101/10/01,N,無, 999/12/31, 台灣柏朗,衛署醫器輸字第019852號,  , , ,
