,特材收錄品項表,,,,,,,,,,,,,,,,,,,,,,,,
大類碼,大小類碼,大小類碼名稱,品名碼,功能類別,功能類別名稱,核價類別名稱,特材代碼,中英文品名,中文品名,英文品名,產品型號/規格,單位,支付點數,核定費用,生效日期,事前審查生效日期,事前審查,給付規定代碼,生效迄日,申請者簡稱,許可證字號,自付差額品名,整組組件特材關聯代碼表,給付類別,
'F,'FB, 骨科類, 'SF1, 'FBSF1, 脊椎固定器 SPINAL FIXATOR, TITANIUM SPINAL SYSTEM 三節 (SCREWX6+RODX2), FBSF1XPDS3DP, “帝富脊椎”易配置脊椎系統 (三節)“DEPUY SPINE”EXPEDIUM SPINE SYSTEM (RX2+SX6), “帝富脊椎”易配置脊椎系統 (三節), “Depuy Spine”Expedium Spine System (RX2+SX6), '特材代碼組合:FBSF4XPDSCDP;FBSF2XPD12DP;【擴增產品型號FBSF2XPD48DP自1140501生效】, 組,34118, , 114/05/01, 108/07/01,Y,D112-1, 999/12/31, 壯生,衛署醫器輸字第017470號,  , , ,
'F,'FB, 骨科類, 'SF1, 'FBSF1, 脊椎固定器 SPINAL FIXATOR, TITANIUM SPINAL SYSTEM 三節 (SCREWX6+RODX2), FBSF1XPDS3DP, “帝富脊椎”易配置脊椎系統 (三節)“DEPUY SPINE”EXPEDIUM SPINE SYSTEM (RX2+SX6), “帝富脊椎”易配置脊椎系統 (三節), “Depuy Spine”Expedium Spine System (RX2+SX6), '特材代碼組合:FBSF4XPDSCDP;FBSF2XPD12DP;【擴增產品型號FBSF2XPD48DP自1140501生效】, 組,34118, , 108/07/01, 108/07/01,Y,D112-1, 114/04/30, 壯生,衛署醫器輸字第017470號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF2000041A, MONT BLANC SPINAL ROD 長※適應症請見備註欄," ""施百威""脊椎固定系統:固定桿(長節)", MONT BLANC SPINAL ROD, 'MB1R55120;55132;55144;55158;55185;55250;55500, EA,2662, , 104/01/01, 099/10/01,Y,D112-1, 999/12/31, 鴻泰生醫,衛署醫器輸字第021204號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF2000F41A," ""SPINEWAY"" MONT BLANC SPINE SYSTEM:ROD 132:158MM""施百威”脊椎固定系統:固定桿(免事前審查)"," ""施百威""脊椎固定系統:固定桿(免事前審查)"," ""SPINEWAY"" MONT BLANC SPINE SYSTEM:ROD", 'MB1R55132;55158, EA,0, , 114/04/01, 100/10/01,N,無, 999/12/31, 鴻泰生醫,衛署醫器輸字第021204號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF2000F41A," ""SPINEWAY"" MONT BLANC SPINE SYSTEM:ROD 132:158MM""施百威”脊椎固定系統:固定桿(免事前審查)"," ""施百威""脊椎固定系統:固定桿(免事前審查)"," ""SPINEWAY"" MONT BLANC SPINE SYSTEM:ROD", 'MB1R55132;55158, EA,1419, , 104/01/01, 100/10/01,N,無, 114/03/31, 鴻泰生醫,衛署醫器輸字第021204號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF20572NDP," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統:固定桿(長節)""DEPUY SPINE"" TITANIUM MOSS MIAMI SPINAL SYSTEM:ROD"," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統:固定桿(長節)"," ""DEPUY SPINE"" TITANIUM MOSS MIAMI SPINAL SYSTEM:ROD", '1755-70:72(175570000自106.05.01生效), 個,2662, , 106/05/01, 087/06/08,Y,D112-1, 999/12/31, 壯生,衛署醫器輸字第009099號,  , FBSF966666DP, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF20574NDP, M-M TITANIUM ROD 12CM※適應症請見備註欄," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統:固定桿(短節)"," ""DEPUY SPINE"" TITANIUM MOSS MIAMI SPINAL SYSTEM:ROD", '1755-74, EA,0, , 114/04/01, 087/06/08,Y,D112-1, 999/12/31, 壯生,衛署醫器輸字第009099號,  , FBSF1T2552DP;FBSF1T3553DP, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF20574NDP, M-M TITANIUM ROD 12CM※適應症請見備註欄," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統:固定桿(短節)"," ""DEPUY SPINE"" TITANIUM MOSS MIAMI SPINAL SYSTEM:ROD", '1755-74, EA,919, , 104/01/01, 087/06/08,Y,D112-1, 114/03/31, 壯生,衛署醫器輸字第009099號,  , FBSF1T2552DP;FBSF1T3553DP, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF208RD14J," ""沃思坦""脊椎固定系統-連接棒I(免事前審查)""OSMD""SPINAL FIXATION SYSTEM-ROD I"," ""沃思坦""脊椎固定系統-連接棒I(免事前審查)"," ""OSMD""Spinal Fixation System-Rod I", '請參考圖檔, 支,679, , 107/09/01, 107/09/01,N,無, 999/12/31, 沃思坦,衛部醫器製字第005930號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF208RD24J," ""沃思坦""脊椎固定系統-連接棒II ""OSMD""SPINAL FIXATION SYSTEM-ROD II"," ""沃思坦""脊椎固定系統-連接棒II"," ""OSMD""Spinal Fixation System-Rod II", '請參考圖檔, 支,919, , 107/09/01, 107/09/01,Y,D112-1, 999/12/31, 沃思坦,衛部醫器製字第005930號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF208RD34J," ""沃思坦""脊椎固定系統-連接棒(免事前審查)""OSMD""SPINAL FIXATION SYSTEM-ROD III"," ""沃思坦""脊椎固定系統-連接棒(免事前審查)"," ""OSMD""Spinal Fixation System-Rod III", '請參考圖檔, 支,1419, , 107/09/01, 107/09/01,N,無, 999/12/31, 沃思坦,衛部醫器製字第005930號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF208RD44J," ""沃思坦""脊椎固定系統-連接棒IV ""OSMD""SPINAL FIXATION SYSTEM-ROD IV"," ""沃思坦""脊椎固定系統-連接棒IV"," ""OSMD""Spinal Fixation System-Rod IV", '請參考圖檔, 支,2662, , 107/09/01, 107/09/01,Y,D112-1, 999/12/31, 沃思坦,衛部醫器製字第005930號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF210A0176, “益脊司”椎弓螺釘系統-連接桿(短節)“EZ SPINE” PEDICLE SCREW SPINAL SYSTEM-ROD, “益脊司”椎弓螺釘系統-連接桿(短節), “EZ Spine” Pedicle Screw Spinal System-Rod, '(10A55-020;025;030;035;040;050;060;070;080;090;100), 支,919, , 111/09/01, 111/09/01,Y,D112-1, 999/12/31, 尚品醫療,衛部醫器製字第007373號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF210A0276, “益脊司”椎弓螺釘系統-連接桿(長節)“EZ SPINE” PEDICLE SCREW SPINAL SYSTEM-ROD, “益脊司”椎弓螺釘系統-連接桿(長節), “EZ Spine” Pedicle Screw Spinal System-Rod, '(10A55-110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;300;350;400;450;500;550;600), 支,2662, , 111/09/01, 111/09/01,Y,D112-1, 999/12/31, 尚品醫療,衛部醫器製字第007373號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF210B0176, “益脊司”椎弓螺釘系統-連接桿、側桿(短節)(免事前審查)“EZ SPINE” PEDICLE SCREW SPINAL SYSTEM- ROD、SIDE, “益脊司”椎弓螺釘系統-連接桿、側桿(短節)(免事前審查), “EZ SPINE” PEDICLE SCREW SPINAL SYSTEM- Rod、Side Rod(Short), '(10-I-55-040;050;060;070;080;090;100);(擴增產品型號15-A-55-020;025;030;035自1140301生效), 支,679, , 114/03/01, 113/01/01,N,無, 999/12/31, 尚品醫療,衛部醫器製字第007373號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF210B0176, “益脊司”椎弓螺釘系統-連接桿、側桿(短節)(免事前審查)“EZ SPINE” PEDICLE SCREW SPINAL SYSTEM- ROD、SIDE, “益脊司”椎弓螺釘系統-連接桿、側桿(短節)(免事前審查), “EZ SPINE” PEDICLE SCREW SPINAL SYSTEM- Rod、Side Rod(Short), '(10-I-55-040;050;060;070;080;090;100);(擴增產品型號15-A-55-020;025;030;035自1140301生效), 支,679, , 113/01/01, 113/01/01,N,無, 114/02/28, 尚品醫療,衛部醫器製字第007373號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF210B0276, “益脊司”椎弓螺釘系統-連接桿(長節)(免事前審查)EZ SPINE” PEDICLE SCREW SPINAL SYSTEM-LONG ROD, “益脊司”椎弓螺釘系統-連接桿(長節)(免事前審查), EZ SPINE” PEDICLE SCREW SPINAL SYSTEM-LONG ROD, '(10-I-55-110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;300;350;400;450;500;550;600), 支,1419, , 113/01/01, 113/01/01,N,無, 999/12/31, 尚品醫療,衛部醫器製字第007373號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF21502NS1, TITANIUM UNIVERSAL SPINAL ROD 免事前審查," ""信迪思"" 廣用型脊椎系統:固定桿(短節)(免事前審查)"," ""SYNTHES"" UNIVERSAL SPINE SYSTEM:ROD", '498.150:152, EA,679, , 104/01/01, 098/10/01,N,無, 999/12/31, 壯生,衛署醫器輸字第007856號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF21534NS1, TITANIUM UNIVERSAL SPINAL ROD LONG 免事前審查," ""信迪思""廣用型脊椎系統:固定桿(長節)(免事前審查)"," ""SYNTHES"" UNIVERSAL SPINE SYSTEM:ROD", '498.153;154, EA,1419, , 104/01/01, 098/10/01,N,無, 999/12/31, 壯生,衛署醫器輸字第007856號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF216001XP," ""寶楠""阿姆斯壯脊椎後路固定系統:平滑桿(短)(免事前審查)""PAONAN""ARMSTRONG POSTERIOR SPINAL FIXATION SYSTEM:ROD 30:100MM"," ""寶楠""阿姆斯壯脊椎後路固定系統:平滑桿(短節)(免事前審查)"," ""PAONAN""ARMSTRONG POSTERIOR SPINAL FIXATION SYSTEM:ROD", 'S1600-6030:6100, EA,679, , 104/01/01, 103/03/01,N,無, 999/12/31, 寶楠,衛署醫器製字第004051號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF216002XP," ""寶楠""阿姆斯壯脊椎後路固定系統:平滑桿(長)(免事前審查)""PAONAN""ARMSTRONG POSTERIOR SPINAL FIXATION SYSTEM:ROD"," ""寶楠""阿姆斯壯脊椎後路固定系統:平滑桿(長節)(免事前審查)"," ""PAONAN""ARMSTRONG POSTERIOR SPINAL FIXATION SYSTEM:ROD", 'S1600-6130;6150;6250;6500;(S1600-6110;6120;6140;6160;6170;6180;6190;6200;6300;6350;6400;6450自1080901起生效), 支,1419, , 108/09/01, 103/03/01,N,無, 999/12/31, 寶楠,衛署醫器製字第004051號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF216003XP," ""寶楠""阿姆斯壯脊椎後路固定系統:平滑桿(短)""PAONAN""ARMSTRONG POSTERIOR SPINAL FIXATION SYSTEM:ROD(Short) "," ""寶楠""阿姆斯壯脊椎後路固定系統:平滑桿(短節)"," ""PAONAN""ARMSTRONG POSTERIOR SPINAL FIXATION SYSTEM:ROD(Short) ", 'R1600-5030:5100, EA,919, , 104/01/01, 103/03/01,Y,D112-1, 999/12/31, 寶楠,衛署醫器製字第004051號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF216004XP," ""寶楠""阿姆斯壯脊椎後路固定系統:平滑桿(長)""PAONAN""ARMSTRONG POSTERIOR SPINAL FIXATION SYSTEM:ROD"," ""寶楠""阿姆斯壯脊椎後路固定系統:平滑桿(長節)"," ""PAONAN""ARMSTRONG POSTERIOR SPINAL FIXATION SYSTEM:ROD", 'R1600-5130;5150;5250;5500;(R1600-5110;5120;5140自1080301起生效);(R1600-5160;5170;5180;5190;5200;5300;5350;5400;5450自1080901起生效)】, 支,2662, , 108/09/01, 103/03/01,Y,D112-1, 999/12/31, 寶楠,衛署醫器製字第004051號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF21600LTD, TITANIUM TREND SPINAL ROD 110:300MM※適應症請見備註欄, 先鋒脊椎固定系統:固定桿(長節), TREND SPINAL FIXATION SYSTEM:TITANIUM ROD, '1600-6011:6030, EA,2662, , 104/01/01, 096/01/01,Y,D112-1, 999/12/31, 寶楠,衛署醫器製字第001914號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF21600STD, TITANIUM TREND SPINAL ROD※適應症請見備註欄, 先鋒脊椎固定系統:固定桿(短節), TREND SPINAL FIXATION SYSTEM:TITANIUM ROD, '1600-6004:6010, EA,919, , 104/01/01, 096/01/01,Y,D112-1, 999/12/31, 寶楠,衛署醫器製字第001914號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF22040NS9, XIA TITANIUM SPINAL ROD 40:60MM(免事前審查)," ""史賽克""喜爾脊椎系統:固定桿(短節)(免事前審查)"," ""STRYKER""XIA SPINAL SYSTEM:ROD", '03802040:03802060, EA,679, , 104/01/01, 098/01/01,N,無, 999/12/31, 史賽克,衛署醫器輸字第009422號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF22110NS9, XIA TITANIUM SPINAL ROD 110:350MM(免事前審查)," ""史賽克""喜爾脊椎系統:固定桿(長節)(免事前審查)"," ""STRYKER""XIA SPINAL SYSTEM:ROD", '03802110:03802350, EA,1419, , 104/01/01, 098/01/01,N,無, 999/12/31, 史賽克,衛署醫器輸字第009422號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF23105L85, 健寶脊椎固定系統-長節固定桿(115:600MM)(免事前審查)JBONE SPINAL FIXATION SYSTEM: ROD(L), 健寶脊椎固定系統-長節固定桿(115:600mm)(免事前審查), JBone Spinal Fixation System: Rod(L), '(3105.55-115;120;125;130;135;140;145;150;155; 160;165;170;175;180;185;190;195;200;205;210;215;220;225;230;235;240;245;250;300;350;400;450;500;550;600-2), 支,1419, , 111/11/01, 111/11/01,N,無, 999/12/31, 健寶生技,衛部醫器製字第007367號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF23105S85, 健寶脊椎固定系統-短節固定桿(40:110MM)(免事前審查)JBONE SPINAL FIXATION SYSTEM: ROD(S), 健寶脊椎固定系統-短節固定桿(40:110mm)(免事前審查), JBone Spinal Fixation System: Rod(S), '(3105.55-040;045;050;055;060;065;070;075;080;085;090;095;100;105;110-2), 支,679, , 111/11/01, 111/11/01,N,無, 999/12/31, 健寶生技,衛部醫器製字第007367號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF23107L85, 健寶脊椎固定系統-長節固定桿JBONE SPINAL FIXATION SYSTEM: LONG ROD, 健寶脊椎固定系統-長節固定桿, JBone Spinal Fixation System: Long Rod, '(3105.57-115;120;125;130;135;140-2);(3105.57-145;150;155;160;165;170;175;180;185;190;195;200;205;210;215;220;225;230;235;240;245;250-2自1130701生效), 支,2662, , 113/07/01, 111/11/01,Y,D112-1, 999/12/31, 健寶生技,衛部醫器製字第007367號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF23107S85, 健寶脊椎固定系統-短節固定桿JBONE SPINAL FIXATION SYSTEM: SHORT ROD, 健寶脊椎固定系統-短節固定桿, JBone Spinal Fixation System: Short Rod, '(3105.57-040;045;050;055;060;065;070;075;080;085;090;095;100;105;110-2), 支,919, , 111/11/01, 111/11/01,Y,D112-1, 999/12/31, 健寶生技,衛部醫器製字第007367號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF238794Y2," ""亞太醫療""亞力乾脊椎固定系統-半弧連接桿(長節)""SYNTEC""ALYSIS SPINAL FIXATION SYSTEM-ROD-CURVE(LONG)"," ""亞太醫療""亞力乾脊椎固定系統-半弧連接桿(長節)"," ""SYNTEC""ALYSIS SPINAL FIXATION SYSTEM-ROD-CURVE(LONG)", '(PBT55110;PBT55120;PBT55130;PBT55140;PBT55150), 支,2662, , 112/05/01, 112/05/01,Y,D112-1, 999/12/31, 亞太醫療,衛署醫器製字第003879號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF238795Y2," ""亞太醫療""亞力乾脊椎固定系統-半弧連接桿(短節)""SYNTEC""ALYSIS SPINAL FIXATION SYSTEM-ROD-CURVE(SHORT)"," ""亞太醫療""亞力乾脊椎固定系統-半弧連接桿(短節)"," ""SYNTEC""ALYSIS SPINAL FIXATION SYSTEM-ROD-CURVE(SHORT)", '(PBT55035;PBT55040;PBT55045;PBT55050;PBT55060;PBT55070;PBT55080;PBT55090;PBT55100), 支,919, , 112/05/01, 112/05/01,Y,D112-1, 999/12/31, 亞太醫療,衛署醫器製字第003879號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF2387N1Y2," ""亞太醫療""亞力乾脊椎固定系統:滑桿短節(免事前審查)""SYNTEC""ALYSIS SPINAL FIXATION SYSTEM:ROD(SHORT)"," ""亞太醫療""亞力乾脊椎固定系統:滑桿短節(免事前審查)", “SYNTEC”Alysis Spinal Fixation System:ROD(SHORT), '853-001:017;022:038;043:056;071:087;100:107, 支,679, , 112/01/01, 112/01/01,N,無, 999/12/31, 亞太醫療,衛署醫器製字第003879號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF2387N2Y2," ""亞太醫療""亞力乾脊椎固定系統:滑桿長節(免事前審查)""SYNTEC""ALYSIS SPINAL FIXATION SYSTEM:ROD(LONG)"," ""亞太醫療""亞力乾脊椎固定系統:滑桿長節(免事前審查)", “SYNTEC”Alysis Spinal Fixation System:ROD(LONG), '853-018:021;039:042;064:070;088:099;108:117, 支,1419, , 112/01/01, 112/01/01,N,無, 999/12/31, 亞太醫療,衛署醫器製字第003879號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD短節(適用於兒童或體型嬌小者), FBSF248147S9, XIA TITANIUM SPINAL ROD 40:100MM(短節)(適用於兒童或體型嬌小者)," ""史賽克""喜爾脊椎系統:固定桿(短節)(適用於兒童或體型嬌小者)"," ""STRYKER""XIA SPINAL SYSTEM:ROD", '48133030;40;50;60;70;80;90;100, EA,957, , 104/01/01, 097/04/01,Y,D112-8, 999/12/31, 史賽克,衛署醫器輸字第009422號+衛署醫器輸字第020147號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD長節(適用於兒童或體型嬌小者), FBSF248148S9, XIA TITANIUM SPINAL ROD 110:600MM (長節)(適用於兒童或體型嬌小者)," ""史賽克""喜爾脊椎系統:固定桿(長節)(適用於兒童或體型嬌小者)"," ""STRYKER""XIA SPINAL SYSTEM:ROD", '48133200;48133480, EA,2662, , 104/01/01, 097/04/01,Y,D112-8, 999/12/31, 史賽克,衛署醫器輸字第009422號+衛署醫器輸字第020473號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF248232S9," ""STRYKER"" XIA 3 SPINAL SYSTEM:ROD 30:100MM ""史賽克""喜爾三脊椎系統:固定桿短節 ※適應症請見備註欄"," ""史賽克""喜爾三脊椎系統:固定桿(短節)"," ""STRYKER"" XIA 3 SPINAL SYSTEM:ROD", '48232-030:100;48233-030:100;48238-030:100;48239-050:100, EA,919, , 104/01/01, 100/10/01,Y,D112-1, 999/12/31, 史賽克,衛署醫器輸字第021753號+衛署醫器輸字第021908號,  , FBSF148232S9;FBSF148233S9, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF248233S9," ""STRYKER"" XIA 3 SPINAL SYSTEM:ROD 11:600MM ""史賽克""喜爾三脊椎系統:固定桿長節 ※適應症請見備註欄"," ""史賽克""喜爾三脊椎系統:固定桿(長節)"," ""STRYKER"" XIA 3 SPINAL SYSTEM:ROD", '48232;48233-110:150;48232;48233-480;600;48238;48239-110;120, EA,2662, , 104/01/01, 100/10/01,Y,D112-1, 999/12/31, 史賽克,衛署醫器輸字第021753號+衛署醫器輸字第021908號,  , FBSF148232S9;FBSF148233S9, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF24981NS1, TITANIUM UNIVERSAL SPINAL ROD ※適應症請見備註欄," ""信迪思""廣用型脊椎系統:固定桿(短節)"," ""SYNTHES"" UNIVERSAL SPINE SYSTEM:ROD", '498.102:103;498.150:151;(498.150:151自981001刪除), EA,919, , 104/01/01, 086/03/14,Y,D112-1, 999/12/31, 壯生,衛署醫器輸字第007856號,  , FBSF1495XNS1;FBSF14985NS1;FBSF97777TS1;FBSF98888TS1, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF2498XNS1, TITANIUM UNIVERSAL SPINAL ROD LONG ※適應症請見備註欄，應事前審查," ""信迪思""廣用型脊椎系統:固定桿(長節)"," ""SYNTHES"" UNIVERSAL SPINE SYSTEM:ROD", '498.104:119;498.152:154;(498.152:154自981001刪除), EA,2662, , 104/01/01, 086/03/14,Y,D112-1, 999/12/31, 壯生,衛署醫器輸字第007856號,  , FBSF99999TS1, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD OR PLATE(短節), FBSF254040B0, TITANIUM SPINAL ROD 40MM:110MM(短節)※適應症請見備註欄," ""長安"" 脊頸椎內固定系統:固定桿(短節)"," ""BMI"" SPINAL FIXATION SYSTEM:TITANIUM SPINAL ROD", '100-5540:42;(自980701變更為100-5540:5547), EA,919, , 104/01/01, 092/07/01,Y,D112-1, 999/12/31, 長安,衛署醫器製字第000981號,  , FBSF101626B0;FBSF101635B0, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM SPINAL ROD(長節), FBSF254047B0, TITANIUM SPINAL ROD 120MM:200MM(長節)※適應症請見備註欄," ""長安"" 脊頸椎內固定系統:固定桿(長節)"," ""BMI"" SPINAL FIXATION SYSTEM:TITANIUM SPINAL ROD", '100-5543:46;(自980701變更為100-5548:52), EA,2662, , 104/01/01, 092/07/01,Y,D112-1, 999/12/31, 長安,衛署醫器製字第000981號,  , FBSF199999B0, ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(短節〈110MM)(免事前審查), FBSF255160DP," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統-短固定桿(免事前審查)6CM;10CM ""DEPUY SPINE""TITANIUM MOSS MIAMI SPINAL SYSTEM-ROD"," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統-短固定桿(免事前審查)6CM;10CM"," ""DEPUY SPINE""TITANIUM MOSS MIAMI SPINAL SYSTEM-ROD", '175575000;175545510, 支,679, , 105/09/01, 105/09/01,N,無, 999/12/31, 壯生,衛署醫器輸字第009099號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF255720DP," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統:固定桿(長節)免事前審查""DEPUY SPINE"" TITANIUM MOSS MIAMI SPINAL SYSTEM:ROD"," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統:固定桿(長節)免事前審查"," ""DEPUY SPINE"" TITANIUM MOSS MIAMI SPINAL SYSTEM:ROD", '175572000, 個,0, , 114/04/01, 106/05/01,N,無, 999/12/31, 壯生,衛署醫器輸字第009099號,  , , ,
'F,'FB, 骨科類, 'SF2, 'FBSF2, 脊椎固定桿 SPINAL ROD, TITANIUM　SPINAL　ROD(長節110MM(含)以上)(免事前審查), FBSF255720DP," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統:固定桿(長節)免事前審查""DEPUY SPINE"" TITANIUM MOSS MIAMI SPINAL SYSTEM:ROD"," ""帝富脊椎""鈦質莫斯邁阿密脊椎系統:固定桿(長節)免事前審查"," ""DEPUY SPINE"" TITANIUM MOSS MIAMI SPINAL SYSTEM:ROD", '175572000, 個,1419, , 106/05/01, 106/05/01,N,無, 114/03/31, 壯生,衛署醫器輸字第009099號,  , , ,
